dataset,term_i,term_j,classification,common_support_size,details_json,provenance
alphatensor23,t01,t02,constant_multiple,6,"{""common_support_size"":6,""ratio_values"":[1]}",MEASURED_FROM_CODE
alphatensor23,t01,t03,constant_multiple,2,"{""common_support_size"":2,""ratio_values"":[1]}",MEASURED_FROM_CODE
alphatensor23,t01,t04,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t05,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t06,constant_multiple,2,"{""common_support_size"":2,""ratio_values"":[-1]}",MEASURED_FROM_CODE
alphatensor23,t01,t07,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t08,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[1]}",MEASURED_FROM_CODE
alphatensor23,t01,t09,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
alphatensor23,t01,t10,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t11,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t12,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t13,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t14,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t15,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t16,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t17,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t18,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t19,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
alphatensor23,t01,t20,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
