outer_term,inner_term,alpha_expr,beta_expr,alpha_nonzero,beta_nonzero,top_left_3x3_gamma_nonzero_count,kept_for_top_left_3x3,gamma_matrix_json,provenance
m1,m1,a00 + a11 + a22,b00 + b11 + b22,True,True,3,True,"[[1,0,0,0],[0,1,0,0],[0,0,1,0],[0,0,0,1]]",EXACT_DERIVED
m1,m2,a10 + a11,b00 + b22,True,True,2,True,"[[0,0,0,0],[1,-1,0,0],[0,0,0,0],[0,0,1,-1]]",EXACT_DERIVED
m1,m3,a00 + a22,b01 - b11,True,True,2,True,"[[0,1,0,0],[0,1,0,0],[0,0,0,1],[0,0,0,1]]",EXACT_DERIVED
m1,m4,a11,-b00 + b10 - b22,True,True,3,True,"[[1,0,0,0],[1,0,0,0],[0,0,1,0],[0,0,1,0]]",EXACT_DERIVED
m1,m5,a00 + a01 + a22,b11,True,True,3,True,"[[-1,1,0,0],[0,0,0,0],[0,0,-1,1],[0,0,0,0]]",EXACT_DERIVED
m1,m6,-a00 + a10 - a22,b00 + b01 + b22,True,True,1,True,"[[0,0,0,0],[0,1,0,0],[0,0,0,0],[0,0,0,1]]",EXACT_DERIVED
m1,m7,a01 - a11,b10 + b11,True,True,2,True,"[[1,0,0,0],[0,0,0,0],[0,0,1,0],[0,0,0,0]]",EXACT_DERIVED
m2,m1,a20 + a22,b00 + b11,True,True,2,True,"[[0,0,0,0],[0,0,0,0],[1,0,-1,0],[0,1,0,-1]]",EXACT_DERIVED
m2,m2,0,b00,False,True,0,False,"[[0,0,0,0],[0,0,0,0],[0,0,0,0],[1,-1,-1,1]]",EXACT_DERIVED
m2,m3,a20 + a22,b01 - b11,True,True,1,True,"[[0,0,0,0],[0,0,0,0],[0,1,0,-1],[0,1,0,-1]]",EXACT_DERIVED
m2,m4,0,-b00 + b10,False,True,2,False,"[[0,0,0,0],[0,0,0,0],[1,0,-1,0],[1,0,-1,0]]",EXACT_DERIVED
m2,m5,a20 + a21 + a22,b11,True,True,3,True,"[[0,0,0,0],[0,0,0,0],[-1,1,1,-1],[0,0,0,0]]",EXACT_DERIVED
m2,m6,-a20 - a22,b00 + b01,True,True,0,False,"[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,1,0,-1]]",EXACT_DERIVED
m2,m7,a21,b10 + b11,True,True,2,True,"[[0,0,0,0],[0,0,0,0],[1,0,-1,0],[0,0,0,0]]",EXACT_DERIVED
m3,m1,a00 + a11,b02 - b22,True,True,2,True,"[[0,0,1,0],[0,0,0,1],[0,0,1,0],[0,0,0,1]]",EXACT_DERIVED
m3,m2,a10 + a11,b02 - b22,True,True,1,True,"[[0,0,0,0],[0,0,1,-1],[0,0,0,0],[0,0,1,-1]]",EXACT_DERIVED
