dataset,term_i,term_j,classification,common_support_size,details_json,provenance
strassen2x2,m1,m2,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[1]}",MEASURED_FROM_CODE
strassen2x2,m1,m3,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m1,m4,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m1,m5,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[1]}",MEASURED_FROM_CODE
strassen2x2,m1,m6,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m1,m7,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m2,m3,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m2,m4,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m2,m5,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m2,m6,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[1]}",MEASURED_FROM_CODE
strassen2x2,m2,m7,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m3,m4,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m3,m5,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m3,m6,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m3,m7,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m4,m5,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m4,m6,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m4,m7,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[-1]}",MEASURED_FROM_CODE
strassen2x2,m5,m6,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
strassen2x2,m5,m7,constant_multiple,1,"{""common_support_size"":1,""ratio_values"":[1]}",MEASURED_FROM_CODE
strassen2x2,m6,m7,disjoint_support,0,"{""common_support_size"":0}",MEASURED_FROM_CODE
