removed_term,candidates_scanned,valid_replacements,pool_scope_note,provenance
t01,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t02,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t03,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t04,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t05,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t06,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t07,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t08,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t09,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t10,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t11,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t12,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t13,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t14,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t15,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t16,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t17,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t18,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t19,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t20,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t21,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t22,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
t23,5122,0,Step 64 exports the exact symmetry-orbit count but not a materialized 570521-orbit representative table. Shot 1 scanned the explicit AlphaTensor+Step64-top100 pool plus 5000 unique random ternary profiles instead of the unattached full orbit table.,MEASURED_FROM_CODE
