term_i,term_j,output_flatten_rank,rank1_frobenius_error_squared,best_profile_bilinear_rank,best_profile_bilinear_rank1_error_squared,mergeable_to_single_rank1_term,verified_r22_algorithm,provenance
t01,t02,2,3.5147186257614287,2,0.8924317658602086,False,False,MEASURED_FROM_CODE
t01,t03,2,3.1010205144336447,2,0.1042092439453142,False,False,MEASURED_FROM_CODE
t01,t04,2,4.417424305044162,2,1.447931143633431,False,False,MEASURED_FROM_CODE
t01,t05,2,7.923303169377979,2,1.8993785712941824,False,False,MEASURED_FROM_CODE
t01,t06,2,3.1010205144336447,2,0.10420924394531413,False,False,MEASURED_FROM_CODE
t01,t07,2,12.000000000000005,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t01,t08,2,5.651530771650467,2,2.5000000000000004,False,False,MEASURED_FROM_CODE
t01,t09,2,5.683375209644603,2,0.1797679757741678,False,False,MEASURED_FROM_CODE
t01,t10,2,3.514718625761428,2,3.0000000000000036,False,False,MEASURED_FROM_CODE
t01,t11,2,11.999999999999998,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t12,2,8.000000000000002,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t13,2,12.000000000000002,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t14,2,12.000000000000005,1,4.437342591868189e-31,False,False,MEASURED_FROM_CODE
t01,t15,2,11.999999999999998,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t16,2,1.4322356371699785,2,0.6407893959464499,False,False,MEASURED_FROM_CODE
t01,t17,2,2.0000000000000004,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t18,2,2.9999999999999996,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t19,2,4.0,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t20,2,2.4792027106038517,2,1.3220959250630626,False,False,MEASURED_FROM_CODE
t01,t21,2,12.000000000000005,1,7.888609052210115e-32,False,False,MEASURED_FROM_CODE
t01,t22,2,1.0,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t01,t23,2,5.999999999999999,1,1.9721522630525304e-31,False,False,MEASURED_FROM_CODE
t02,t03,2,2.6377085042627835,2,0.670471055907994,False,False,MEASURED_FROM_CODE
t02,t04,2,3.315612858641879,2,1.928205741756615,False,False,MEASURED_FROM_CODE
t02,t05,2,24.417424305044143,2,2.2425137229774608,False,False,MEASURED_FROM_CODE
t02,t06,2,2.4741609536660514,2,0.22195343353527205,False,False,MEASURED_FROM_CODE
t02,t07,2,22.254033307585175,2,1.454903647623464,False,False,MEASURED_FROM_CODE
t02,t08,2,6.202041028867289,2,0.8330890170626338,False,False,MEASURED_FROM_CODE
t02,t09,2,5.605195681659348,2,0.041784350877359565,False,False,MEASURED_FROM_CODE
t02,t10,2,7.029437251522857,2,1.7848635317204151,False,False,MEASURED_FROM_CODE
t02,t11,2,11.875644347017865,2,0.051341448924948144,False,False,MEASURED_FROM_CODE
t02,t12,2,8.000000000000002,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t13,2,12.000000000000002,1,3.94430452610506e-31,False,False,MEASURED_FROM_CODE
t02,t14,2,36.000000000000014,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t15,2,11.875644347017861,2,0.05134144892494813,False,False,MEASURED_FROM_CODE
t02,t16,2,1.6506484271025281,2,0.3659705405253414,False,False,MEASURED_FROM_CODE
t02,t17,2,2.0000000000000004,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t18,2,2.9999999999999996,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t19,2,4.0,1,3.94430452610506e-31,False,False,MEASURED_FROM_CODE
t02,t20,2,2.0000000000000004,2,1.7267132973058423,False,False,MEASURED_FROM_CODE
t02,t21,2,20.000000000000004,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t22,2,1.0,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t02,t23,2,5.999999999999999,1,9.86076131526264e-32,False,False,MEASURED_FROM_CODE
t03,t04,2,2.585786437626904,1,2.766345919261411e-31,False,False,MEASURED_FROM_CODE
t03,t05,2,3.9233031693779794,2,0.00855756118510514,False,False,MEASURED_FROM_CODE
t03,t06,1,0.0,2,2.0000000000000004,False,False,MEASURED_FROM_CODE
t03,t07,2,4.0,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t03,t08,2,2.3431457505076185,2,1.7071067811865466,False,False,MEASURED_FROM_CODE
t03,t09,2,4.0,1,3.2869204384208823e-32,False,False,MEASURED_FROM_CODE
t03,t10,2,3.8768943743823416,2,0.042606341862465334,False,False,MEASURED_FROM_CODE
t03,t11,2,4.0,1,1.1093356479670476e-31,False,False,MEASURED_FROM_CODE
t03,t12,2,4.0,1,7.395570986446992e-32,False,False,MEASURED_FROM_CODE
t03,t13,2,3.999999999999999,1,0.0,False,False,MEASURED_FROM_CODE
t03,t14,2,4.000000000000002,1,4.437342591868189e-31,False,False,MEASURED_FROM_CODE
t03,t15,2,4.0,1,0.0,False,False,MEASURED_FROM_CODE
t03,t16,2,2.0000000000000004,1,0.0,False,False,MEASURED_FROM_CODE
t03,t17,2,2.0000000000000004,1,0.0,False,False,MEASURED_FROM_CODE
t03,t18,2,2.9999999999999996,1,0.0,False,False,MEASURED_FROM_CODE
t03,t19,2,4.0,1,0.0,False,False,MEASURED_FROM_CODE
t03,t20,2,2.438447187191171,2,1.5015255867995267,False,False,MEASURED_FROM_CODE
t03,t21,2,4.0,1,7.888609052210115e-32,False,False,MEASURED_FROM_CODE
t03,t22,2,1.0,1,0.0,False,False,MEASURED_FROM_CODE
t03,t23,2,4.0,1,3.0926009084856805e-62,False,False,MEASURED_FROM_CODE
t04,t05,2,4.7750278396781765,2,0.1740985736240277,False,False,MEASURED_FROM_CODE
t04,t06,2,2.0000000000000004,2,2.114381916835873,False,False,MEASURED_FROM_CODE
t04,t07,2,4.753049234040403,2,0.7432203916259197,False,False,MEASURED_FROM_CODE
t04,t08,2,2.5968757625671506,2,2.7423651829320614,False,False,MEASURED_FROM_CODE
t04,t09,2,5.999999999999999,1,1.3147681753683518e-31,False,False,MEASURED_FROM_CODE
t04,t10,2,5.535898384862243,2,0.22988809167055735,False,False,MEASURED_FROM_CODE
t04,t11,2,3.2554373534619714,2,1.4912353173124984,False,False,MEASURED_FROM_CODE
t04,t12,2,5.999999999999999,1,7.395570986446992e-32,False,False,MEASURED_FROM_CODE
t04,t13,2,5.127016653792585,2,1.4508066615170325,False,False,MEASURED_FROM_CODE
t04,t14,2,5.2202661619405,2,0.9087099732692231,False,False,MEASURED_FROM_CODE
t04,t15,2,5.999999999999999,1,0.0,False,False,MEASURED_FROM_CODE
t04,t16,2,1.9999999999999996,1,1.3147681753683523e-31,False,False,MEASURED_FROM_CODE
t04,t17,2,2.0000000000000004,1,1.3147681753683523e-31,False,False,MEASURED_FROM_CODE
t04,t18,2,2.4384471871911697,2,0.8936609374091674,False,False,MEASURED_FROM_CODE
t04,t19,2,4.0,1,1.3147681753683527e-31,False,False,MEASURED_FROM_CODE
t04,t20,2,2.627718676730985,2,3.4574271077563385,False,False,MEASURED_FROM_CODE
t04,t21,2,4.693376137081923,2,1.6757556160565366,False,False,MEASURED_FROM_CODE
t04,t22,2,1.0,1,1.3147681753683523e-31,False,False,MEASURED_FROM_CODE
t04,t23,2,4.0,2,3.9999999999999956,False,False,MEASURED_FROM_CODE
t05,t06,2,3.9233031693779794,2,0.008557561185105063,False,False,MEASURED_FROM_CODE
t05,t07,2,18.000000000000004,2,1.4643462471472628,False,False,MEASURED_FROM_CODE
t05,t08,2,10.753049234040398,2,0.3327177576408408,False,False,MEASURED_FROM_CODE
t05,t09,2,5.999999999999999,1,3.155443620884046e-31,False,False,MEASURED_FROM_CODE
t05,t10,2,4.59687576256715,2,0.19419243786432577,False,False,MEASURED_FROM_CODE
t05,t11,2,6.000000000000001,2,1.4643462471472606,False,False,MEASURED_FROM_CODE
t05,t12,2,6.630683123147022,2,0.10704292444794168,False,False,MEASURED_FROM_CODE
t05,t13,2,9.775027839678177,2,3.193756959919547,False,False,MEASURED_FROM_CODE
t05,t14,2,19.25227291513248,2,16.160532650125067,False,False,MEASURED_FROM_CODE
t05,t15,2,11.999999999999995,1,2.1644371087001497e-30,False,False,MEASURED_FROM_CODE
t05,t16,2,1.4741609536660494,2,0.3660705312274632,False,False,MEASURED_FROM_CODE
t05,t17,2,1.9999999999999996,1,2.1644371087001497e-30,False,False,MEASURED_FROM_CODE
t05,t18,2,2.4554280948118605,2,0.4718451771469543,False,False,MEASURED_FROM_CODE
t05,t19,2,4.0,1,3.155443620884046e-31,False,False,MEASURED_FROM_CODE
t05,t20,2,4.413747671697599,2,0.5455481660514029,False,False,MEASURED_FROM_CODE
t05,t21,2,11.771243444677053,2,9.0,False,False,MEASURED_FROM_CODE
t05,t22,2,1.0,1,3.155443620884046e-31,False,False,MEASURED_FROM_CODE
t05,t23,2,4.80909404172708,2,1.4079941084843008,False,False,MEASURED_FROM_CODE
t06,t07,2,4.0,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t06,t08,2,2.3431457505076185,2,0.9148357668252578,False,False,MEASURED_FROM_CODE
t06,t09,2,4.0,1,3.2869204384208823e-32,False,False,MEASURED_FROM_CODE
t06,t10,2,4.0,1,8.217301096052206e-32,False,False,MEASURED_FROM_CODE
t06,t11,2,3.876894374382339,2,0.03650127511370397,False,False,MEASURED_FROM_CODE
t06,t12,2,4.0,1,7.395570986446992e-32,False,False,MEASURED_FROM_CODE
t06,t13,2,3.999999999999999,1,0.0,False,False,MEASURED_FROM_CODE
t06,t14,2,4.000000000000002,1,4.437342591868189e-31,False,False,MEASURED_FROM_CODE
t06,t15,2,4.0,1,0.0,False,False,MEASURED_FROM_CODE
t06,t16,2,2.0000000000000004,1,0.0,False,False,MEASURED_FROM_CODE
t06,t17,2,2.0000000000000004,1,0.0,False,False,MEASURED_FROM_CODE
t06,t18,2,2.9999999999999996,1,0.0,False,False,MEASURED_FROM_CODE
t06,t19,2,4.0,1,0.0,False,False,MEASURED_FROM_CODE
t06,t20,2,2.438447187191171,2,1.5015255867995267,False,False,MEASURED_FROM_CODE
t06,t21,2,4.0,1,7.888609052210115e-32,False,False,MEASURED_FROM_CODE
t06,t22,2,1.0,1,0.0,False,False,MEASURED_FROM_CODE
t06,t23,2,4.0,1,3.0926009084856805e-62,False,False,MEASURED_FROM_CODE
t07,t08,2,10.000000000000002,2,0.6559195672113992,False,False,MEASURED_FROM_CODE
t07,t09,2,2.95012437887911,2,1.8070649796155605,False,False,MEASURED_FROM_CODE
t07,t10,2,9.753788748764682,2,0.5120219817398438,False,False,MEASURED_FROM_CODE
t07,t11,2,5.513167019494864,2,3.4069161897997553,False,False,MEASURED_FROM_CODE
t07,t12,2,3.675444679663243,2,0.5053825055066853,False,False,MEASURED_FROM_CODE
t07,t13,2,11.366750419289199,2,0.35953595154833434,False,False,MEASURED_FROM_CODE
t07,t14,2,18.83484861008832,2,6.252097518170986,False,False,MEASURED_FROM_CODE
t07,t15,2,11.835585997031027,2,0.13139818827528824,False,False,MEASURED_FROM_CODE
t07,t16,2,2.0000000000000004,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t07,t17,2,2.0000000000000004,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t07,t18,2,2.4433278062520105,2,0.618179518290037,False,False,MEASURED_FROM_CODE
t07,t19,2,2.864471274339956,2,1.281578791892901,False,False,MEASURED_FROM_CODE
t07,t20,2,5.000000000000001,1,1.2818989709841444e-30,False,False,MEASURED_FROM_CODE
t07,t21,2,10.864471274339957,2,7.6407893959464515,False,False,MEASURED_FROM_CODE
