r_total,r1,r2,parameter_count,raw_constraint_upper_bound,raw_upper_deficit,bilinear_only_deficit,provenance
1,1,0,27,729,-702,-702,EXACT_DERIVED
2,1,1,46,4374,-4328,-683,EXACT_DERIVED
2,2,0,54,729,-675,-675,EXACT_DERIVED
3,1,2,65,4374,-4309,-664,EXACT_DERIVED
3,2,1,74,4374,-4300,-655,EXACT_DERIVED
3,3,0,81,729,-648,-648,EXACT_DERIVED
4,1,3,84,4374,-4290,-645,EXACT_DERIVED
4,2,2,94,4374,-4280,-635,EXACT_DERIVED
4,3,1,102,4374,-4272,-627,EXACT_DERIVED
4,4,0,108,729,-621,-621,EXACT_DERIVED
5,1,4,103,4374,-4271,-626,EXACT_DERIVED
5,2,3,114,4374,-4260,-615,EXACT_DERIVED
5,3,2,123,4374,-4251,-606,EXACT_DERIVED
5,4,1,130,4374,-4244,-599,EXACT_DERIVED
5,5,0,135,729,-594,-594,EXACT_DERIVED
6,1,5,122,4374,-4252,-607,EXACT_DERIVED
6,2,4,134,4374,-4240,-595,EXACT_DERIVED
6,3,3,144,4374,-4230,-585,EXACT_DERIVED
6,4,2,152,4374,-4222,-577,EXACT_DERIVED
6,5,1,158,4374,-4216,-571,EXACT_DERIVED
6,6,0,162,729,-567,-567,EXACT_DERIVED
7,1,6,141,4374,-4233,-588,EXACT_DERIVED
7,2,5,154,4374,-4220,-575,EXACT_DERIVED
7,3,4,165,4374,-4209,-564,EXACT_DERIVED
7,4,3,174,4374,-4200,-555,EXACT_DERIVED
7,5,2,181,4374,-4193,-548,EXACT_DERIVED
7,6,1,186,4374,-4188,-543,EXACT_DERIVED
7,7,0,189,729,-540,-540,EXACT_DERIVED
8,1,7,160,4374,-4214,-569,EXACT_DERIVED
8,2,6,174,4374,-4200,-555,EXACT_DERIVED
8,3,5,186,4374,-4188,-543,EXACT_DERIVED
8,4,4,196,4374,-4178,-533,EXACT_DERIVED
8,5,3,204,4374,-4170,-525,EXACT_DERIVED
8,6,2,210,4374,-4164,-519,EXACT_DERIVED
8,7,1,214,4374,-4160,-515,EXACT_DERIVED
8,8,0,216,729,-513,-513,EXACT_DERIVED
9,1,8,179,4374,-4195,-550,EXACT_DERIVED
9,2,7,194,4374,-4180,-535,EXACT_DERIVED
9,3,6,207,4374,-4167,-522,EXACT_DERIVED
9,4,5,218,4374,-4156,-511,EXACT_DERIVED
9,5,4,227,4374,-4147,-502,EXACT_DERIVED
9,6,3,234,4374,-4140,-495,EXACT_DERIVED
9,7,2,239,4374,-4135,-490,EXACT_DERIVED
9,8,1,242,4374,-4132,-487,EXACT_DERIVED
9,9,0,243,729,-486,-486,EXACT_DERIVED
10,1,9,198,4374,-4176,-531,EXACT_DERIVED
10,2,8,214,4374,-4160,-515,EXACT_DERIVED
10,3,7,228,4374,-4146,-501,EXACT_DERIVED
10,4,6,240,4374,-4134,-489,EXACT_DERIVED
10,5,5,250,4374,-4124,-479,EXACT_DERIVED
10,6,4,258,4374,-4116,-471,EXACT_DERIVED
10,7,3,264,4374,-4110,-465,EXACT_DERIVED
10,8,2,268,4374,-4106,-461,EXACT_DERIVED
10,9,1,270,4374,-4104,-459,EXACT_DERIVED
10,10,0,270,729,-459,-459,EXACT_DERIVED
11,1,10,217,4374,-4157,-512,EXACT_DERIVED
11,2,9,234,4374,-4140,-495,EXACT_DERIVED
11,3,8,249,4374,-4125,-480,EXACT_DERIVED
11,4,7,262,4374,-4112,-467,EXACT_DERIVED
11,5,6,273,4374,-4101,-456,EXACT_DERIVED
11,6,5,282,4374,-4092,-447,EXACT_DERIVED
11,7,4,289,4374,-4085,-440,EXACT_DERIVED
11,8,3,294,4374,-4080,-435,EXACT_DERIVED
11,9,2,297,4374,-4077,-432,EXACT_DERIVED
11,10,1,298,4374,-4076,-431,EXACT_DERIVED
11,11,0,297,729,-432,-432,EXACT_DERIVED
12,1,11,236,4374,-4138,-493,EXACT_DERIVED
12,2,10,254,4374,-4120,-475,EXACT_DERIVED
12,3,9,270,4374,-4104,-459,EXACT_DERIVED
12,4,8,284,4374,-4090,-445,EXACT_DERIVED
12,5,7,296,4374,-4078,-433,EXACT_DERIVED
12,6,6,306,4374,-4068,-423,EXACT_DERIVED
12,7,5,314,4374,-4060,-415,EXACT_DERIVED
12,8,4,320,4374,-4054,-409,EXACT_DERIVED
12,9,3,324,4374,-4050,-405,EXACT_DERIVED
12,10,2,326,4374,-4048,-403,EXACT_DERIVED
12,11,1,326,4374,-4048,-403,EXACT_DERIVED
12,12,0,324,729,-405,-405,EXACT_DERIVED
13,1,12,255,4374,-4119,-474,EXACT_DERIVED
13,2,11,274,4374,-4100,-455,EXACT_DERIVED
13,3,10,291,4374,-4083,-438,EXACT_DERIVED
13,4,9,306,4374,-4068,-423,EXACT_DERIVED
13,5,8,319,4374,-4055,-410,EXACT_DERIVED
13,6,7,330,4374,-4044,-399,EXACT_DERIVED
13,7,6,339,4374,-4035,-390,EXACT_DERIVED
13,8,5,346,4374,-4028,-383,EXACT_DERIVED
13,9,4,351,4374,-4023,-378,EXACT_DERIVED
13,10,3,354,4374,-4020,-375,EXACT_DERIVED
13,11,2,355,4374,-4019,-374,EXACT_DERIVED
13,12,1,354,4374,-4020,-375,EXACT_DERIVED
13,13,0,351,729,-378,-378,EXACT_DERIVED
14,1,13,274,4374,-4100,-455,EXACT_DERIVED
14,2,12,294,4374,-4080,-435,EXACT_DERIVED
14,3,11,312,4374,-4062,-417,EXACT_DERIVED
14,4,10,328,4374,-4046,-401,EXACT_DERIVED
14,5,9,342,4374,-4032,-387,EXACT_DERIVED
14,6,8,354,4374,-4020,-375,EXACT_DERIVED
14,7,7,364,4374,-4010,-365,EXACT_DERIVED
14,8,6,372,4374,-4002,-357,EXACT_DERIVED
14,9,5,378,4374,-3996,-351,EXACT_DERIVED
14,10,4,382,4374,-3992,-347,EXACT_DERIVED
14,11,3,384,4374,-3990,-345,EXACT_DERIVED
14,12,2,384,4374,-3990,-345,EXACT_DERIVED
14,13,1,382,4374,-3992,-347,EXACT_DERIVED
14,14,0,378,729,-351,-351,EXACT_DERIVED
15,1,14,293,4374,-4081,-436,EXACT_DERIVED
15,2,13,314,4374,-4060,-415,EXACT_DERIVED
15,3,12,333,4374,-4041,-396,EXACT_DERIVED
15,4,11,350,4374,-4024,-379,EXACT_DERIVED
15,5,10,365,4374,-4009,-364,EXACT_DERIVED
15,6,9,378,4374,-3996,-351,EXACT_DERIVED
15,7,8,389,4374,-3985,-340,EXACT_DERIVED
15,8,7,398,4374,-3976,-331,EXACT_DERIVED
15,9,6,405,4374,-3969,-324,EXACT_DERIVED
15,10,5,410,4374,-3964,-319,EXACT_DERIVED
15,11,4,413,4374,-3961,-316,EXACT_DERIVED
15,12,3,414,4374,-3960,-315,EXACT_DERIVED
15,13,2,413,4374,-3961,-316,EXACT_DERIVED
15,14,1,410,4374,-3964,-319,EXACT_DERIVED
15,15,0,405,729,-324,-324,EXACT_DERIVED
16,1,15,312,4374,-4062,-417,EXACT_DERIVED
16,2,14,334,4374,-4040,-395,EXACT_DERIVED
16,3,13,354,4374,-4020,-375,EXACT_DERIVED
16,4,12,372,4374,-4002,-357,EXACT_DERIVED
16,5,11,388,4374,-3986,-341,EXACT_DERIVED
16,6,10,402,4374,-3972,-327,EXACT_DERIVED
16,7,9,414,4374,-3960,-315,EXACT_DERIVED
16,8,8,424,4374,-3950,-305,EXACT_DERIVED
16,9,7,432,4374,-3942,-297,EXACT_DERIVED
16,10,6,438,4374,-3936,-291,EXACT_DERIVED
16,11,5,442,4374,-3932,-287,EXACT_DERIVED
16,12,4,444,4374,-3930,-285,EXACT_DERIVED
16,13,3,444,4374,-3930,-285,EXACT_DERIVED
16,14,2,442,4374,-3932,-287,EXACT_DERIVED
16,15,1,438,4374,-3936,-291,EXACT_DERIVED
16,16,0,432,729,-297,-297,EXACT_DERIVED
17,1,16,331,4374,-4043,-398,EXACT_DERIVED
17,2,15,354,4374,-4020,-375,EXACT_DERIVED
17,3,14,375,4374,-3999,-354,EXACT_DERIVED
17,4,13,394,4374,-3980,-335,EXACT_DERIVED
17,5,12,411,4374,-3963,-318,EXACT_DERIVED
17,6,11,426,4374,-3948,-303,EXACT_DERIVED
17,7,10,439,4374,-3935,-290,EXACT_DERIVED
17,8,9,450,4374,-3924,-279,EXACT_DERIVED
17,9,8,459,4374,-3915,-270,EXACT_DERIVED
17,10,7,466,4374,-3908,-263,EXACT_DERIVED
17,11,6,471,4374,-3903,-258,EXACT_DERIVED
17,12,5,474,4374,-3900,-255,EXACT_DERIVED
17,13,4,475,4374,-3899,-254,EXACT_DERIVED
17,14,3,474,4374,-3900,-255,EXACT_DERIVED
17,15,2,471,4374,-3903,-258,EXACT_DERIVED
17,16,1,466,4374,-3908,-263,EXACT_DERIVED
17,17,0,459,729,-270,-270,EXACT_DERIVED
18,1,17,350,4374,-4024,-379,EXACT_DERIVED
18,2,16,374,4374,-4000,-355,EXACT_DERIVED
18,3,15,396,4374,-3978,-333,EXACT_DERIVED
18,4,14,416,4374,-3958,-313,EXACT_DERIVED
18,5,13,434,4374,-3940,-295,EXACT_DERIVED
18,6,12,450,4374,-3924,-279,EXACT_DERIVED
18,7,11,464,4374,-3910,-265,EXACT_DERIVED
18,8,10,476,4374,-3898,-253,EXACT_DERIVED
18,9,9,486,4374,-3888,-243,EXACT_DERIVED
18,10,8,494,4374,-3880,-235,EXACT_DERIVED
18,11,7,500,4374,-3874,-229,EXACT_DERIVED
18,12,6,504,4374,-3870,-225,EXACT_DERIVED
18,13,5,506,4374,-3868,-223,EXACT_DERIVED
18,14,4,506,4374,-3868,-223,EXACT_DERIVED
18,15,3,504,4374,-3870,-225,EXACT_DERIVED
18,16,2,500,4374,-3874,-229,EXACT_DERIVED
18,17,1,494,4374,-3880,-235,EXACT_DERIVED
18,18,0,486,729,-243,-243,EXACT_DERIVED
19,1,18,369,4374,-4005,-360,EXACT_DERIVED
19,2,17,394,4374,-3980,-335,EXACT_DERIVED
19,3,16,417,4374,-3957,-312,EXACT_DERIVED
19,4,15,438,4374,-3936,-291,EXACT_DERIVED
19,5,14,457,4374,-3917,-272,EXACT_DERIVED
19,6,13,474,4374,-3900,-255,EXACT_DERIVED
19,7,12,489,4374,-3885,-240,EXACT_DERIVED
19,8,11,502,4374,-3872,-227,EXACT_DERIVED
19,9,10,513,4374,-3861,-216,EXACT_DERIVED
19,10,9,522,4374,-3852,-207,EXACT_DERIVED
19,11,8,529,4374,-3845,-200,EXACT_DERIVED
19,12,7,534,4374,-3840,-195,EXACT_DERIVED
19,13,6,537,4374,-3837,-192,EXACT_DERIVED
19,14,5,538,4374,-3836,-191,EXACT_DERIVED
19,15,4,537,4374,-3837,-192,EXACT_DERIVED
19,16,3,534,4374,-3840,-195,EXACT_DERIVED
19,17,2,529,4374,-3845,-200,EXACT_DERIVED
19,18,1,522,4374,-3852,-207,EXACT_DERIVED
19,19,0,513,729,-216,-216,EXACT_DERIVED
20,1,19,388,4374,-3986,-341,EXACT_DERIVED
20,2,18,414,4374,-3960,-315,EXACT_DERIVED
20,3,17,438,4374,-3936,-291,EXACT_DERIVED
20,4,16,460,4374,-3914,-269,EXACT_DERIVED
20,5,15,480,4374,-3894,-249,EXACT_DERIVED
20,6,14,498,4374,-3876,-231,EXACT_DERIVED
20,7,13,514,4374,-3860,-215,EXACT_DERIVED
20,8,12,528,4374,-3846,-201,EXACT_DERIVED
20,9,11,540,4374,-3834,-189,EXACT_DERIVED
20,10,10,550,4374,-3824,-179,EXACT_DERIVED
20,11,9,558,4374,-3816,-171,EXACT_DERIVED
20,12,8,564,4374,-3810,-165,EXACT_DERIVED
20,13,7,568,4374,-3806,-161,EXACT_DERIVED
20,14,6,570,4374,-3804,-159,EXACT_DERIVED
20,15,5,570,4374,-3804,-159,EXACT_DERIVED
20,16,4,568,4374,-3806,-161,EXACT_DERIVED
20,17,3,564,4374,-3810,-165,EXACT_DERIVED
20,18,2,558,4374,-3816,-171,EXACT_DERIVED
20,19,1,550,4374,-3824,-179,EXACT_DERIVED
20,20,0,540,729,-189,-189,EXACT_DERIVED
21,1,20,407,4374,-3967,-322,EXACT_DERIVED
21,2,19,434,4374,-3940,-295,EXACT_DERIVED
21,3,18,459,4374,-3915,-270,EXACT_DERIVED
21,4,17,482,4374,-3892,-247,EXACT_DERIVED
21,5,16,503,4374,-3871,-226,EXACT_DERIVED
21,6,15,522,4374,-3852,-207,EXACT_DERIVED
21,7,14,539,4374,-3835,-190,EXACT_DERIVED
21,8,13,554,4374,-3820,-175,EXACT_DERIVED
21,9,12,567,4374,-3807,-162,EXACT_DERIVED
21,10,11,578,4374,-3796,-151,EXACT_DERIVED
21,11,10,587,4374,-3787,-142,EXACT_DERIVED
21,12,9,594,4374,-3780,-135,EXACT_DERIVED
21,13,8,599,4374,-3775,-130,EXACT_DERIVED
21,14,7,602,4374,-3772,-127,EXACT_DERIVED
21,15,6,603,4374,-3771,-126,EXACT_DERIVED
21,16,5,602,4374,-3772,-127,EXACT_DERIVED
21,17,4,599,4374,-3775,-130,EXACT_DERIVED
21,18,3,594,4374,-3780,-135,EXACT_DERIVED
21,19,2,587,4374,-3787,-142,EXACT_DERIVED
21,20,1,578,4374,-3796,-151,EXACT_DERIVED
21,21,0,567,729,-162,-162,EXACT_DERIVED
22,1,21,426,4374,-3948,-303,EXACT_DERIVED
22,2,20,454,4374,-3920,-275,EXACT_DERIVED
22,3,19,480,4374,-3894,-249,EXACT_DERIVED
22,4,18,504,4374,-3870,-225,EXACT_DERIVED
22,5,17,526,4374,-3848,-203,EXACT_DERIVED
22,6,16,546,4374,-3828,-183,EXACT_DERIVED
22,7,15,564,4374,-3810,-165,EXACT_DERIVED
22,8,14,580,4374,-3794,-149,EXACT_DERIVED
22,9,13,594,4374,-3780,-135,EXACT_DERIVED
22,10,12,606,4374,-3768,-123,EXACT_DERIVED
22,11,11,616,4374,-3758,-113,EXACT_DERIVED
22,12,10,624,4374,-3750,-105,EXACT_DERIVED
22,13,9,630,4374,-3744,-99,EXACT_DERIVED
22,14,8,634,4374,-3740,-95,EXACT_DERIVED
22,15,7,636,4374,-3738,-93,EXACT_DERIVED
22,16,6,636,4374,-3738,-93,EXACT_DERIVED
22,17,5,634,4374,-3740,-95,EXACT_DERIVED
22,18,4,630,4374,-3744,-99,EXACT_DERIVED
22,19,3,624,4374,-3750,-105,EXACT_DERIVED
22,20,2,616,4374,-3758,-113,EXACT_DERIVED
22,21,1,606,4374,-3768,-123,EXACT_DERIVED
22,22,0,594,729,-135,-135,EXACT_DERIVED
