r_total,r1,r2,type,local_fiber_dimension,best_loss,status,provenance
20,9,11,"AA=0,BB=0,QQ=11",22,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=0,BB=11,QQ=0",34,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=1,BB=0,QQ=10",22,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=1,BB=10,QQ=0",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=2,BB=0,QQ=9",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=2,BB=9,QQ=0",29,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=3,BB=0,QQ=8",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=3,BB=8,QQ=0",26,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=4,BB=0,QQ=7",21,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=4,BB=7,QQ=0",33,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=5,BB=0,QQ=6",22,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=5,BB=6,QQ=0",27,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=6,BB=0,QQ=5",22,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=6,BB=5,QQ=0",27,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=7,BB=0,QQ=4",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=7,BB=4,QQ=0",33,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=8,BB=0,QQ=3",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=8,BB=3,QQ=0",29,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=9,BB=0,QQ=2",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=9,BB=2,QQ=0",26,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=10,BB=0,QQ=1",29,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=10,BB=1,QQ=0",29,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,9,11,"AA=11,BB=0,QQ=0",26,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,10,10,"AA=0,BB=0,QQ=10",23,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,10,10,"AA=0,BB=10,QQ=0",27,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,10,10,"AA=1,BB=0,QQ=9",19,,not_run_dimension_count_only,MEASURED_FROM_CODE
20,10,10,"AA=1,BB=9,QQ=0",30,,not_run_dimension_count_only,MEASURED_FROM_CODE
