config_id,r_total,r1,r2,n_aa,n_bb,n_qq,parameter_count,parameter_count_simplified,parameter_formula_match,bilinear_constraint_upper_bound,aab_constraint_upper_bound,abb_constraint_upper_bound,aabb_constraint_upper_bound,constraint_upper_bound_total,raw_upper_deficit,qq_parameter_bonus,provenance
R1_r11_r20_aa0_bb0_qq0,1,1,0,0,0,0,27,27,True,729,0,0,0,729,-702,0,EXACT_DERIVED
R2_r11_r21_aa0_bb1_qq0,2,1,1,0,1,0,46,46,True,729,0,3645,0,4374,-4328,0,EXACT_DERIVED
R2_r11_r21_aa1_bb0_qq0,2,1,1,1,0,0,46,46,True,729,3645,0,0,4374,-4328,0,EXACT_DERIVED
R2_r11_r21_aa0_bb0_qq1,2,1,1,0,0,1,38,38,True,729,0,0,18225,18954,-18916,-8,EXACT_DERIVED
R2_r12_r20_aa0_bb0_qq0,2,2,0,0,0,0,54,54,True,729,0,0,0,729,-675,0,EXACT_DERIVED
R3_r11_r22_aa0_bb2_qq0,3,1,2,0,2,0,65,65,True,729,0,3645,0,4374,-4309,0,EXACT_DERIVED
R3_r11_r22_aa1_bb1_qq0,3,1,2,1,1,0,65,65,True,729,3645,3645,0,8019,-7954,0,EXACT_DERIVED
R3_r11_r22_aa2_bb0_qq0,3,1,2,2,0,0,65,65,True,729,3645,0,0,4374,-4309,0,EXACT_DERIVED
R3_r11_r22_aa0_bb1_qq1,3,1,2,0,1,1,57,57,True,729,0,3645,18225,22599,-22542,-8,EXACT_DERIVED
R3_r11_r22_aa1_bb0_qq1,3,1,2,1,0,1,57,57,True,729,3645,0,18225,22599,-22542,-8,EXACT_DERIVED
R3_r11_r22_aa0_bb0_qq2,3,1,2,0,0,2,49,49,True,729,0,0,18225,18954,-18905,-16,EXACT_DERIVED
R3_r12_r21_aa0_bb1_qq0,3,2,1,0,1,0,74,74,True,729,0,3645,0,4374,-4300,0,EXACT_DERIVED
R3_r12_r21_aa1_bb0_qq0,3,2,1,1,0,0,74,74,True,729,3645,0,0,4374,-4300,0,EXACT_DERIVED
R3_r12_r21_aa0_bb0_qq1,3,2,1,0,0,1,67,67,True,729,0,0,18225,18954,-18887,-7,EXACT_DERIVED
R3_r13_r20_aa0_bb0_qq0,3,3,0,0,0,0,81,81,True,729,0,0,0,729,-648,0,EXACT_DERIVED
R4_r11_r23_aa0_bb3_qq0,4,1,3,0,3,0,84,84,True,729,0,3645,0,4374,-4290,0,EXACT_DERIVED
R4_r11_r23_aa1_bb2_qq0,4,1,3,1,2,0,84,84,True,729,3645,3645,0,8019,-7935,0,EXACT_DERIVED
R4_r11_r23_aa2_bb1_qq0,4,1,3,2,1,0,84,84,True,729,3645,3645,0,8019,-7935,0,EXACT_DERIVED
R4_r11_r23_aa3_bb0_qq0,4,1,3,3,0,0,84,84,True,729,3645,0,0,4374,-4290,0,EXACT_DERIVED
R4_r11_r23_aa0_bb2_qq1,4,1,3,0,2,1,76,76,True,729,0,3645,18225,22599,-22523,-8,EXACT_DERIVED
R4_r11_r23_aa1_bb1_qq1,4,1,3,1,1,1,76,76,True,729,3645,3645,18225,26244,-26168,-8,EXACT_DERIVED
R4_r11_r23_aa2_bb0_qq1,4,1,3,2,0,1,76,76,True,729,3645,0,18225,22599,-22523,-8,EXACT_DERIVED
R4_r11_r23_aa0_bb1_qq2,4,1,3,0,1,2,68,68,True,729,0,3645,18225,22599,-22531,-16,EXACT_DERIVED
R4_r11_r23_aa1_bb0_qq2,4,1,3,1,0,2,68,68,True,729,3645,0,18225,22599,-22531,-16,EXACT_DERIVED
R4_r11_r23_aa0_bb0_qq3,4,1,3,0,0,3,60,60,True,729,0,0,18225,18954,-18894,-24,EXACT_DERIVED
R4_r12_r22_aa0_bb2_qq0,4,2,2,0,2,0,94,94,True,729,0,3645,0,4374,-4280,0,EXACT_DERIVED
R4_r12_r22_aa1_bb1_qq0,4,2,2,1,1,0,94,94,True,729,3645,3645,0,8019,-7925,0,EXACT_DERIVED
R4_r12_r22_aa2_bb0_qq0,4,2,2,2,0,0,94,94,True,729,3645,0,0,4374,-4280,0,EXACT_DERIVED
R4_r12_r22_aa0_bb1_qq1,4,2,2,0,1,1,87,87,True,729,0,3645,18225,22599,-22512,-7,EXACT_DERIVED
R4_r12_r22_aa1_bb0_qq1,4,2,2,1,0,1,87,87,True,729,3645,0,18225,22599,-22512,-7,EXACT_DERIVED
R4_r12_r22_aa0_bb0_qq2,4,2,2,0,0,2,80,80,True,729,0,0,18225,18954,-18874,-14,EXACT_DERIVED
R4_r13_r21_aa0_bb1_qq0,4,3,1,0,1,0,102,102,True,729,0,3645,0,4374,-4272,0,EXACT_DERIVED
R4_r13_r21_aa1_bb0_qq0,4,3,1,1,0,0,102,102,True,729,3645,0,0,4374,-4272,0,EXACT_DERIVED
R4_r13_r21_aa0_bb0_qq1,4,3,1,0,0,1,96,96,True,729,0,0,18225,18954,-18858,-6,EXACT_DERIVED
R4_r14_r20_aa0_bb0_qq0,4,4,0,0,0,0,108,108,True,729,0,0,0,729,-621,0,EXACT_DERIVED
R5_r11_r24_aa0_bb4_qq0,5,1,4,0,4,0,103,103,True,729,0,3645,0,4374,-4271,0,EXACT_DERIVED
R5_r11_r24_aa1_bb3_qq0,5,1,4,1,3,0,103,103,True,729,3645,3645,0,8019,-7916,0,EXACT_DERIVED
R5_r11_r24_aa2_bb2_qq0,5,1,4,2,2,0,103,103,True,729,3645,3645,0,8019,-7916,0,EXACT_DERIVED
R5_r11_r24_aa3_bb1_qq0,5,1,4,3,1,0,103,103,True,729,3645,3645,0,8019,-7916,0,EXACT_DERIVED
R5_r11_r24_aa4_bb0_qq0,5,1,4,4,0,0,103,103,True,729,3645,0,0,4374,-4271,0,EXACT_DERIVED
R5_r11_r24_aa0_bb3_qq1,5,1,4,0,3,1,95,95,True,729,0,3645,18225,22599,-22504,-8,EXACT_DERIVED
R5_r11_r24_aa1_bb2_qq1,5,1,4,1,2,1,95,95,True,729,3645,3645,18225,26244,-26149,-8,EXACT_DERIVED
R5_r11_r24_aa2_bb1_qq1,5,1,4,2,1,1,95,95,True,729,3645,3645,18225,26244,-26149,-8,EXACT_DERIVED
R5_r11_r24_aa3_bb0_qq1,5,1,4,3,0,1,95,95,True,729,3645,0,18225,22599,-22504,-8,EXACT_DERIVED
R5_r11_r24_aa0_bb2_qq2,5,1,4,0,2,2,87,87,True,729,0,3645,18225,22599,-22512,-16,EXACT_DERIVED
R5_r11_r24_aa1_bb1_qq2,5,1,4,1,1,2,87,87,True,729,3645,3645,18225,26244,-26157,-16,EXACT_DERIVED
R5_r11_r24_aa2_bb0_qq2,5,1,4,2,0,2,87,87,True,729,3645,0,18225,22599,-22512,-16,EXACT_DERIVED
R5_r11_r24_aa0_bb1_qq3,5,1,4,0,1,3,79,79,True,729,0,3645,18225,22599,-22520,-24,EXACT_DERIVED
R5_r11_r24_aa1_bb0_qq3,5,1,4,1,0,3,79,79,True,729,3645,0,18225,22599,-22520,-24,EXACT_DERIVED
R5_r11_r24_aa0_bb0_qq4,5,1,4,0,0,4,71,71,True,729,0,0,18225,18954,-18883,-32,EXACT_DERIVED
R5_r12_r23_aa0_bb3_qq0,5,2,3,0,3,0,114,114,True,729,0,3645,0,4374,-4260,0,EXACT_DERIVED
R5_r12_r23_aa1_bb2_qq0,5,2,3,1,2,0,114,114,True,729,3645,3645,0,8019,-7905,0,EXACT_DERIVED
R5_r12_r23_aa2_bb1_qq0,5,2,3,2,1,0,114,114,True,729,3645,3645,0,8019,-7905,0,EXACT_DERIVED
R5_r12_r23_aa3_bb0_qq0,5,2,3,3,0,0,114,114,True,729,3645,0,0,4374,-4260,0,EXACT_DERIVED
R5_r12_r23_aa0_bb2_qq1,5,2,3,0,2,1,107,107,True,729,0,3645,18225,22599,-22492,-7,EXACT_DERIVED
R5_r12_r23_aa1_bb1_qq1,5,2,3,1,1,1,107,107,True,729,3645,3645,18225,26244,-26137,-7,EXACT_DERIVED
R5_r12_r23_aa2_bb0_qq1,5,2,3,2,0,1,107,107,True,729,3645,0,18225,22599,-22492,-7,EXACT_DERIVED
R5_r12_r23_aa0_bb1_qq2,5,2,3,0,1,2,100,100,True,729,0,3645,18225,22599,-22499,-14,EXACT_DERIVED
R5_r12_r23_aa1_bb0_qq2,5,2,3,1,0,2,100,100,True,729,3645,0,18225,22599,-22499,-14,EXACT_DERIVED
R5_r12_r23_aa0_bb0_qq3,5,2,3,0,0,3,93,93,True,729,0,0,18225,18954,-18861,-21,EXACT_DERIVED
R5_r13_r22_aa0_bb2_qq0,5,3,2,0,2,0,123,123,True,729,0,3645,0,4374,-4251,0,EXACT_DERIVED
R5_r13_r22_aa1_bb1_qq0,5,3,2,1,1,0,123,123,True,729,3645,3645,0,8019,-7896,0,EXACT_DERIVED
R5_r13_r22_aa2_bb0_qq0,5,3,2,2,0,0,123,123,True,729,3645,0,0,4374,-4251,0,EXACT_DERIVED
R5_r13_r22_aa0_bb1_qq1,5,3,2,0,1,1,117,117,True,729,0,3645,18225,22599,-22482,-6,EXACT_DERIVED
R5_r13_r22_aa1_bb0_qq1,5,3,2,1,0,1,117,117,True,729,3645,0,18225,22599,-22482,-6,EXACT_DERIVED
R5_r13_r22_aa0_bb0_qq2,5,3,2,0,0,2,111,111,True,729,0,0,18225,18954,-18843,-12,EXACT_DERIVED
