config_id,family,r_total,r1,r2,n_aa,n_bb,n_qq,parameter_count,jacobian_row_count,jacobian_rank,local_fiber_dimension,full_column_rank,bilinear_constraint_upper_bound,aab_constraint_upper_bound,abb_constraint_upper_bound,aabb_constraint_upper_bound,constraint_upper_bound_total,raw_upper_deficit,image_codimension_in_rows,status,search_status,jacobian_method,rank_tolerance,provenance
R20_r19_r211_aa0_bb0_qq11,AA_QQ_only,20,9,11,0,0,11,540,18954,518,22,False,729,0,0,18225,18954,-18414,18436,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa0_bb11_qq0,AA_BB_only,20,9,11,0,11,0,540,4374,506,34,False,729,0,3645,0,4374,-3834,3868,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa1_bb0_qq10,AA_QQ_only,20,9,11,1,0,10,540,22599,518,22,False,729,3645,0,18225,22599,-22059,22081,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa1_bb10_qq0,AA_BB_only,20,9,11,1,10,0,540,8019,517,23,False,729,3645,3645,0,8019,-7479,7502,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa2_bb0_qq9,AA_QQ_only,20,9,11,2,0,9,540,22599,517,23,False,729,3645,0,18225,22599,-22059,22082,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa2_bb9_qq0,AA_BB_only,20,9,11,2,9,0,540,8019,511,29,False,729,3645,3645,0,8019,-7479,7508,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa3_bb0_qq8,AA_QQ_only,20,9,11,3,0,8,540,22599,517,23,False,729,3645,0,18225,22599,-22059,22082,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa3_bb8_qq0,AA_BB_only,20,9,11,3,8,0,540,8019,514,26,False,729,3645,3645,0,8019,-7479,7505,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa4_bb0_qq7,AA_QQ_only,20,9,11,4,0,7,540,22599,519,21,False,729,3645,0,18225,22599,-22059,22080,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa4_bb7_qq0,AA_BB_only,20,9,11,4,7,0,540,8019,507,33,False,729,3645,3645,0,8019,-7479,7512,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa5_bb0_qq6,AA_QQ_only,20,9,11,5,0,6,540,22599,518,22,False,729,3645,0,18225,22599,-22059,22081,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa5_bb6_qq0,AA_BB_only,20,9,11,5,6,0,540,8019,513,27,False,729,3645,3645,0,8019,-7479,7506,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa6_bb0_qq5,AA_QQ_only,20,9,11,6,0,5,540,22599,518,22,False,729,3645,0,18225,22599,-22059,22081,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa6_bb5_qq0,AA_BB_only,20,9,11,6,5,0,540,8019,513,27,False,729,3645,3645,0,8019,-7479,7506,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa7_bb0_qq4,AA_QQ_only,20,9,11,7,0,4,540,22599,517,23,False,729,3645,0,18225,22599,-22059,22082,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa7_bb4_qq0,AA_BB_only,20,9,11,7,4,0,540,8019,507,33,False,729,3645,3645,0,8019,-7479,7512,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa8_bb0_qq3,AA_QQ_only,20,9,11,8,0,3,540,22599,517,23,False,729,3645,0,18225,22599,-22059,22082,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa8_bb3_qq0,AA_BB_only,20,9,11,8,3,0,540,8019,511,29,False,729,3645,3645,0,8019,-7479,7508,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa9_bb0_qq2,AA_QQ_only,20,9,11,9,0,2,540,22599,517,23,False,729,3645,0,18225,22599,-22059,22082,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa9_bb2_qq0,AA_BB_only,20,9,11,9,2,0,540,8019,514,26,False,729,3645,3645,0,8019,-7479,7505,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa10_bb0_qq1,AA_QQ_only,20,9,11,10,0,1,540,22599,511,29,False,729,3645,0,18225,22599,-22059,22088,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa10_bb1_qq0,AA_BB_only,20,9,11,10,1,0,540,8019,511,29,False,729,3645,3645,0,8019,-7479,7508,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r19_r211_aa11_bb0_qq0,AA_BB_only,20,9,11,11,0,0,540,4374,514,26,False,729,3645,0,0,4374,-3834,3860,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa0_bb0_qq10,AA_QQ_only,20,10,10,0,0,10,560,18954,537,23,False,729,0,0,18225,18954,-18394,18417,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa0_bb10_qq0,AA_BB_only,20,10,10,0,10,0,550,4374,523,27,False,729,0,3645,0,4374,-3824,3851,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa1_bb0_qq9,AA_QQ_only,20,10,10,1,0,9,559,22599,540,19,False,729,3645,0,18225,22599,-22040,22059,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa1_bb9_qq0,AA_BB_only,20,10,10,1,9,0,550,8019,520,30,False,729,3645,3645,0,8019,-7469,7499,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa2_bb0_qq8,AA_QQ_only,20,10,10,2,0,8,558,22599,537,21,False,729,3645,0,18225,22599,-22041,22062,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa2_bb8_qq0,AA_BB_only,20,10,10,2,8,0,550,8019,519,31,False,729,3645,3645,0,8019,-7469,7500,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa3_bb0_qq7,AA_QQ_only,20,10,10,3,0,7,557,22599,535,22,False,729,3645,0,18225,22599,-22042,22064,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa3_bb7_qq0,AA_BB_only,20,10,10,3,7,0,550,8019,520,30,False,729,3645,3645,0,8019,-7469,7499,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa4_bb0_qq6,AA_QQ_only,20,10,10,4,0,6,556,22599,535,21,False,729,3645,0,18225,22599,-22043,22064,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
R20_r110_r210_aa4_bb6_qq0,AA_BB_only,20,10,10,4,6,0,550,8019,518,32,False,729,3645,3645,0,8019,-7469,7501,positive_local_fiber,not_run_dimension_count_only,analytic,1e-06,MEASURED_FROM_CODE
