tensor_name,phase,rank_tested,restarts,best_seed,best_verified_loss,best_max_abs_residual,exact_hit_count,verified_exact,provenance
anticommutator,phase1,8,2000,8383088,3.0118748286934128e+01,6.8191257495277124e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,9,2000,8326918,2.6159552530203378e+01,6.2675277120619377e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,10,2000,8498504,2.3229415870790788e+01,5.6558864106223405e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,11,2000,8649623,1.9164442100684884e+01,4.7582409497244416e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,12,2000,8667270,1.5069965707754926e+01,4.3744819975162275e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,13,2000,8735551,1.1532499410964636e+01,3.6754272932935861e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,14,2000,8884536,8.4886446493843568e+00,2.7865570453361221e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,15,2000,9050690,6.3704170532646751e+00,2.2282161227087827e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,16,2000,9140214,3.6681231360072921e+00,1.5853192998144072e-01,0,False,MEASURED_FROM_CODE
anticommutator,phase1,17,2000,9199959,1.3139769567365472e-01,3.7305271481275937e-02,0,False,MEASURED_FROM_CODE
anticommutator,phase1,18,2000,9377559,4.4241435761321384e-02,1.8837015666016463e-02,0,False,MEASURED_FROM_CODE
anticommutator,phase1,19,2000,9491818,6.0692161485123209e-17,1.4700994605681972e-09,0,False,MEASURED_FROM_CODE
anticommutator,phase1,20,2000,9504421,8.8530419835373545e-15,1.5613738815756228e-08,0,False,MEASURED_FROM_CODE
anticommutator,phase1,21,2000,9653600,1.4503002913411803e-16,2.2791660399257285e-09,0,False,MEASURED_FROM_CODE
anticommutator,phase1,22,2000,9624396,1.5965020493288776e-17,4.6585177382318932e-10,0,False,MEASURED_FROM_CODE
anticommutator,phase1,23,2000,9787543,1.3554428277793224e-17,4.9156154841023536e-10,0,False,MEASURED_FROM_CODE
