term,alpha,beta,gamma
s01,"[[-0.366848,-0.890108,-0.32762],[-0.298319,-0.635525,-0.236703],[-0.572787,0.156904,0.008939]]","[[0.422284,1.024615,0.377128],[0.343399,0.731561,0.272472],[0.659343,-0.180614,-0.010289]]","[[-0.365705,-0.297389,-0.571002],[-0.887334,-0.633544,0.156415],[-0.326599,-0.235965,0.008911]]"
s02,"[[-0.574234,0.833982,0.122545],[0.541907,-0.599739,-0.041204],[-0.036735,0.061177,0.01095]]","[[0.681349,-0.98955,-0.145404],[-0.642992,0.711612,0.04889],[0.043587,-0.072589,-0.012993]]","[[-0.460781,0.434841,-0.029477],[0.66921,-0.481247,0.04909],[0.098333,-0.033063,0.008787]]"
s03,"[[-0.4812,0.885287,0.137595],[-0.338978,-0.470784,-0.283681],[-0.633329,0.186126,-0.159389]]","[[-0.332731,0.612142,0.095142],[-0.23439,-0.325529,-0.196155],[-0.437923,0.128699,-0.110211]]","[[-0.614472,-0.43286,-0.808735],[1.130474,-0.601171,0.237675],[0.175703,-0.362248,-0.203532]]"
s04,"[[-0.1211,0.418888,1.104006],[0.12066,0.555716,-0.263219],[0.636156,-0.500894,-0.434616]]","[[0.132514,-0.458369,-1.208061],[-0.132033,-0.608093,0.288028],[-0.696115,0.548104,0.475579]]","[[-0.120299,0.119863,0.63195],[0.416118,0.552041,-0.497582],[1.096706,-0.261479,-0.431742]]"
s05,"[[0.291585,0.087072,0.96834],[-0.094586,-0.454528,0.424963],[-0.689403,0.322046,0.162943]]","[[-0.289571,-0.08647,-0.961651],[0.093933,0.451388,-0.422027],[0.68464,-0.319821,-0.161817]]","[[0.350711,-0.113765,-0.829195],[0.104728,-0.546695,0.387348],[1.164694,0.511134,0.195983]]"
s06,"[[-0.044122,-0.076561,-0.016917],[-0.079371,1.018715,0.346561],[-0.094759,0.698522,0.244984]]","[[-0.045579,-0.079089,-0.017475],[-0.081992,1.052357,0.358006],[-0.097888,0.72159,0.253075]]","[[-0.040933,-0.073635,-0.08791],[-0.071028,0.945088,0.648037],[-0.015694,0.321514,0.227278]]"
s07,"[[0.434083,-0.486201,0.741113],[0.078539,0.256876,-0.399719],[0.743987,-0.179162,0.257608]]","[[0.461777,-0.517221,0.788397],[0.08355,0.273264,-0.425221],[0.791454,-0.190593,0.274043]]","[[0.41343,0.074803,0.708591],[-0.463069,0.244654,-0.170638],[0.705853,-0.380701,0.245351]]"
s08,"[[1.241949,-0.078042,0.254768],[0.093117,-0.13561,0.093439],[-0.128231,0.038544,-0.04377]]","[[1.192149,-0.074913,0.244552],[0.089383,-0.130172,0.089692],[-0.123089,0.036998,-0.042015]]","[[1.315592,0.098638,-0.135834],[-0.08267,-0.143651,0.040829],[0.269875,0.09898,-0.046365]]"
s09,"[[0.063698,0.03249,0.708983],[-0.145681,0.595824,-0.486662],[-0.121463,0.9602,0.379013]]","[[-0.066071,-0.033701,-0.735397],[0.151108,-0.618021,0.504793],[0.125988,-0.995973,-0.393134]]","[[0.051292,-0.117307,-0.097806],[0.026162,0.479777,0.773185],[0.570897,-0.391877,0.305194]]"
s10,"[[-0.242655,0.049328,-1.188837],[-0.554727,-0.075091,0.322859],[0.411802,-0.749398,0.317745]]","[[0.231774,-0.047116,1.135532],[0.529853,0.071724,-0.308383],[-0.393337,0.715796,-0.303498]]","[[-0.223379,-0.510662,0.37909],[0.04541,-0.069126,-0.689869],[-1.094402,0.297213,0.292505]]"
s11,"[[0.091709,0.085778,0.678646],[0.077926,-0.033534,0.511649],[0.11058,0.57141,1.104129]]","[[-0.083406,-0.078011,-0.617199],[-0.07087,0.030498,-0.465322],[-0.100568,-0.519673,-1.004158]]","[[-0.066668,-0.056649,-0.080387],[-0.062357,0.024378,-0.415389],[-0.493344,-0.371945,-0.802651]]"
s12,"[[0.022933,-0.543663,-1.02855],[0.492093,0.023701,-0.500252],[-0.244228,0.819155,-0.046634]]","[[0.023766,-0.563416,-1.065921],[0.509972,0.024562,-0.518428],[-0.253101,0.848917,-0.048328]]","[[-0.022576,-0.484443,0.240431],[0.535212,-0.023332,-0.806421],[1.012562,0.492475,0.045909]]"
s13,"[[-0.287705,-0.738881,-0.287028],[0.443019,-0.458468,-0.131962],[-0.046559,0.174334,0.059228]]","[[0.500909,1.28643,0.49973],[-0.771319,0.798217,0.229754],[0.081062,-0.303525,-0.103118]]","[[0.392145,-0.60384,0.063461],[1.007103,0.624897,-0.23762],[0.391222,0.179866,-0.080728]]"
s14,"[[0.519308,0.511092,-0.695466],[0.480451,0.374085,-0.481128],[-0.400036,-0.156357,0.145697]]","[[0.42993,0.423128,-0.575769],[0.39776,0.309701,-0.398321],[-0.331185,-0.129446,0.120621]]","[[0.554343,0.512865,-0.427024],[0.545574,0.399323,-0.166906],[-0.742386,-0.513587,0.155527]]"
s15,"[[-0.034776,0.453423,0.801381],[-0.031869,0.460668,0.676546],[0.020442,-1.069159,0.557396]]","[[0.030623,-0.399265,-0.705662],[0.028063,-0.405645,-0.595737],[-0.018,0.941456,-0.490819]]","[[-0.028646,-0.026251,0.016838],[0.373491,0.379459,-0.880682],[0.660109,0.55728,0.459135]]"
s16,"[[-0.127078,0.188938,-0.269788],[-0.117112,0.250121,-0.373117],[0.092345,-0.818392,1.311658]]","[[0.09413,-0.139951,0.199839],[0.086748,-0.185271,0.276377],[-0.068402,0.606204,-0.971579]]","[[0.092941,0.085652,-0.067538],[-0.138183,-0.182931,0.598547],[0.197315,0.272886,-0.959306]]"
s17,"[[-0.611128,0.582057,-0.927255],[-0.573137,-0.198845,0.352008],[0.476837,-0.061287,0.079047]]","[[-0.570192,0.543069,-0.865144],[-0.534747,-0.185526,0.328429],[0.444897,-0.057182,0.073752]]","[[-0.62123,-0.582612,0.48472],[0.591679,-0.202132,-0.062301],[-0.942583,0.357827,0.080354]]"
s18,"[[-0.097099,0.371723,0.819417],[-0.08398,1.010613,-0.333334],[0.072584,-0.577502,-0.159455]]","[[0.086584,-0.331467,-0.730679],[0.074885,-0.90117,0.297236],[-0.064724,0.514962,0.142187]]","[[0.119009,0.102929,-0.088962],[-0.455601,-1.238654,0.707813],[-1.004315,0.408549,0.195435]]"
