term_id,alpha,beta,gamma,alpha_nonzero,beta_nonzero,gamma_nonzero,provenance
sq01,"[[0.709449,-0.774895,-0.595846],[-0.153716,0.167897,0.129102],[-0.0,-0.0,0.0]]","[[0.882175,-0.027789,-0.0],[-0.831102,0.02618,0.0],[-0.567998,0.017892,0.0]]","[[0.452752,-0.365204],[-0.708959,0.571869]]",6,6,4,MEASURED_FROM_CODE
sq02,"[[0.178263,0.004879,0.358474],[-0.535024,-0.014642,-1.075896],[-0.0,-0.0,-0.0]]","[[-0.132905,-0.617835,-0.0],[-0.342727,-0.605619,-0.0],[-0.373547,-0.767503,-0.0]]","[[-0.014054,-0.446158],[0.022007,0.698635]]",6,6,4,MEASURED_FROM_CODE
sq03,"[[0.950296,0.12454,0.212677],[0.606873,0.079533,0.135818],[-0.0,-0.0,0.0]]","[[-0.247444,-0.930431,-0.0],[0.220393,-0.649894,-0.0],[-0.581241,-0.262641,-0.0]]","[[-0.025182,-0.799438],[-0.00839,-0.266362]]",6,6,4,MEASURED_FROM_CODE
sq04,"[[0.24101,0.84305,-0.859243],[-0.05222,-0.182664,0.186172],[0.0,0.0,-0.0]]","[[0.218654,-0.006888,0.0],[0.874422,-0.027544,0.0],[-0.87684,0.02762,-0.0]]","[[0.724507,0.829417],[0.241396,0.27635]]",6,6,4,MEASURED_FROM_CODE
sq05,"[[-0.342524,-0.181499,-0.266412],[-0.880735,-0.46669,-0.685029],[0.0,-0.0,0.0]]","[[-1.00333,0.031605,-0.0],[-0.400236,0.012607,0.0],[-0.674118,0.021235,-0.0]]","[[-0.140623,0.055404],[0.699326,-0.275528]]",6,6,4,MEASURED_FROM_CODE
sq06,"[[-0.455541,0.797409,0.204573],[-0.528684,-0.322476,0.978331],[0.0,0.0,-0.0]]","[[-0.451587,-0.139091,-0.0],[-0.107731,1.067803,0.0],[0.883519,0.033925,0.0]]","[[0.212106,1.015702],[0.822816,-0.268287]]",6,6,4,MEASURED_FROM_CODE
sq07,"[[-0.583412,0.637231,0.489991],[-0.372575,0.406945,0.312915],[0.0,0.0,-0.0]]","[[0.595548,-0.171132,-0.0],[-1.090962,1.092223,0.0],[0.205661,0.054897,0.0]]","[[-0.157788,0.127277],[-0.728238,0.58742]]",6,6,4,MEASURED_FROM_CODE
sq08,"[[-0.11427,-0.399716,0.407393],[0.342961,1.199677,-1.222719],[-0.0,-0.0,0.0]]","[[-0.225599,-0.146099,0.0],[0.794785,1.0386,0.0],[-0.022057,0.062406,-0.0]]","[[0.106889,0.122367],[0.493328,0.564762]]",6,6,4,MEASURED_FROM_CODE
sq09,"[[-0.929264,-0.492405,-0.722774],[-0.186859,-0.099014,-0.145338],[-0.0,-0.0,0.0]]","[[-0.89983,0.028345,-0.0],[-0.358949,0.011307,-0.0],[-0.604578,0.019044,-0.0]]","[[0.739042,-0.291176],[-0.287418,0.11324]]",6,6,4,MEASURED_FROM_CODE
sq10,"[[0.277731,0.108178,-1.175041],[0.177363,0.069084,-0.750399],[-0.0,-0.0,0.0]]","[[0.213424,-0.080243,0.0],[0.741453,-0.605311,0.0],[-0.710142,0.691662,-0.0]]","[[-0.029861,-0.947958],[-0.009949,-0.315846]]",6,6,4,MEASURED_FROM_CODE
sq11,"[[0.413497,0.082495,-0.395313],[-1.241039,-0.247595,1.186463],[0.0,0.0,-0.0]]","[[-0.560672,-0.740876,-0.0],[0.480911,0.577926,0.0],[0.314585,0.359226,-0.0]]","[[-0.013458,-0.42724],[0.021074,0.66901]]",6,6,4,MEASURED_FROM_CODE
