search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
GF(3)_alphatensor_subset22,1,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,2,6,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,3,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,4,6,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,5,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,6,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,7,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,8,6,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,9,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,10,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,11,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,12,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,13,5,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,14,6,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,15,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,16,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,17,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,18,6,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,19,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,20,4,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,21,7,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,22,8,False,EXACT_DERIVED,,,
GF(3)_alphatensor_subset22,23,6,False,EXACT_DERIVED,,,
,,0,False,MEASURED_FROM_CODE,GF(3),22,1
,,0,False,MEASURED_FROM_CODE,GF(3),22,2
,,0,False,MEASURED_FROM_CODE,GF(3),22,3
,,0,False,MEASURED_FROM_CODE,GF(3),22,4
,,0,False,MEASURED_FROM_CODE,GF(3),22,5
,,0,False,MEASURED_FROM_CODE,GF(3),22,6
,,0,False,MEASURED_FROM_CODE,GF(3),22,7
,,0,False,MEASURED_FROM_CODE,GF(3),22,8
