field,phase,rank_tested,restarts,best_covered_output_columns,positive_restart_count,exact_hit_count,best_restart_index,best_restart_seed,workers,provenance
GF(9),sweep,9,6000,0,0,0,1,8599001,24,MEASURED_FROM_CODE
GF(9),sweep,10,6000,0,0,0,1,8699001,24,MEASURED_FROM_CODE
GF(9),sweep,11,6000,0,0,0,1,8799001,24,MEASURED_FROM_CODE
GF(9),sweep,12,6000,0,0,0,1,8899001,24,MEASURED_FROM_CODE
GF(9),sweep,13,6000,0,0,0,1,8999001,24,MEASURED_FROM_CODE
GF(9),sweep,14,6000,0,0,0,1,9099001,24,MEASURED_FROM_CODE
GF(9),sweep,15,6000,0,0,0,1,9199001,24,MEASURED_FROM_CODE
GF(9),sweep,16,6000,0,0,0,1,9299001,24,MEASURED_FROM_CODE
GF(9),sweep,17,6000,0,0,0,1,9399001,24,MEASURED_FROM_CODE
GF(9),sweep,18,6000,0,0,0,1,9499001,24,MEASURED_FROM_CODE
GF(9),sweep,19,6000,0,0,0,1,9599001,24,MEASURED_FROM_CODE
GF(9),sweep,20,6000,0,0,0,1,9699001,24,MEASURED_FROM_CODE
GF(9),sweep,21,6000,0,0,0,1,9799001,24,MEASURED_FROM_CODE
GF(9),sweep,22,6000,0,0,0,26,9899026,24,MEASURED_FROM_CODE
