term_i,term_j,ab_common_support,gamma_i_support_size,gamma_j_support_size,gamma_intersection_size,gamma_disjoint,gamma_proportional,gamma_ratio,T_pair_mode0_rank,T_pair_mode1_rank,T_pair_mode2_rank,T_pair_flattening_lb,T_pair_is_rank1,search_rank,search_restarts,search_best_loss,search_best_max_abs_residual,search_exact_hit,provenance
t01,t02,6,2,3,2,False,False,,2,2,2,2,False,21,50,14.491764076360841,0.7755683848253161,False,MEASURED_FROM_CODE
t01,t03,2,2,1,0,True,False,,2,2,2,2,False,21,50,11.993958291515774,0.6882934397484193,False,MEASURED_FROM_CODE
t01,t06,2,2,1,0,True,False,,2,2,2,2,False,21,50,11.839748634434628,0.887420220004668,False,MEASURED_FROM_CODE
t01,t08,1,2,3,1,False,False,,2,2,2,2,False,21,50,13.377701342983215,0.90659656410029,False,MEASURED_FROM_CODE
t01,t09,1,2,1,0,True,False,,2,2,2,2,False,21,50,12.128851943928073,0.828399433578887,False,MEASURED_FROM_CODE
t02,t03,2,3,1,1,False,False,,2,2,2,2,False,21,50,13.683172962033314,0.8913206995698149,False,MEASURED_FROM_CODE
t02,t04,1,3,3,2,False,False,,2,2,2,2,False,21,50,12.814084244624507,0.8494591481842845,False,MEASURED_FROM_CODE
t02,t05,4,3,2,1,False,False,,2,2,2,2,False,21,50,13.136456752956397,0.6980471286873217,False,MEASURED_FROM_CODE
t02,t06,3,3,1,1,False,False,,2,2,2,2,False,21,50,13.11079600105814,0.7696440075248769,False,MEASURED_FROM_CODE
t02,t07,2,3,2,0,True,False,,2,2,2,2,False,21,50,14.151883429665167,0.8156676985040394,False,MEASURED_FROM_CODE
t02,t08,4,3,3,2,False,False,,2,2,2,2,False,21,50,13.664001358613309,0.9117893772452378,False,MEASURED_FROM_CODE
t02,t09,2,3,1,0,True,False,,2,2,2,2,False,21,50,14.020117685658446,0.8409458071075988,False,MEASURED_FROM_CODE
t02,t11,1,3,1,0,True,False,,2,2,2,2,False,21,50,11.516631465570619,0.745792832703329,False,MEASURED_FROM_CODE
t02,t15,1,3,1,0,True,False,,2,2,2,2,False,21,50,13.71786543591567,0.8695915256126125,False,MEASURED_FROM_CODE
t02,t20,1,3,5,3,False,False,,2,2,2,2,False,21,50,13.20089469984119,0.8071575614199102,False,MEASURED_FROM_CODE
t03,t04,1,1,3,1,False,False,,2,1,2,2,False,21,50,12.976246045154387,0.8896174940286689,False,MEASURED_FROM_CODE
t03,t05,1,1,2,0,True,False,,2,2,2,2,False,21,50,13.482826687729737,0.7385165237504292,False,MEASURED_FROM_CODE
t03,t10,1,1,1,0,True,False,,2,2,2,2,False,21,50,13.383308766651531,0.8246416894421496,False,MEASURED_FROM_CODE
t04,t05,2,3,2,1,False,False,,2,2,2,2,False,21,50,13.855501540089064,0.8435727012510904,False,MEASURED_FROM_CODE
t04,t10,1,3,1,0,True,False,,2,2,2,2,False,21,50,13.550358666704437,0.7696305502059186,False,MEASURED_FROM_CODE
t05,t06,1,2,1,0,True,False,,2,2,2,2,False,21,50,13.782894723716625,0.95041769501775,False,MEASURED_FROM_CODE
t05,t07,6,2,2,1,False,False,,2,2,2,2,False,21,50,13.51141480094285,0.8957326745693898,False,MEASURED_FROM_CODE
t05,t08,2,2,3,0,True,False,,2,2,2,2,False,21,50,14.350985604322762,0.8040145481457105,False,MEASURED_FROM_CODE
t05,t10,10,2,1,1,False,False,,2,2,2,2,False,21,50,13.209453820018144,0.7925154411927235,False,MEASURED_FROM_CODE
t05,t11,6,2,1,1,False,False,,2,2,2,2,False,21,50,13.55527614750764,0.9578608107560945,False,MEASURED_FROM_CODE
t05,t12,4,2,1,0,True,False,,2,2,2,2,False,21,50,13.654057640539996,0.8097458792342196,False,MEASURED_FROM_CODE
t06,t11,1,1,1,0,True,False,,2,2,2,2,False,21,50,13.702708392412488,0.9649228550061822,False,MEASURED_FROM_CODE
