summary_name,summary_value,provenance
step77_total_constant_multiple_pairs,59,EXACT_DERIVED
step77_gamma_disjoint_pairs,23,EXACT_DERIVED
step77_gamma_proportional_pairs,1,EXACT_DERIVED
step77_pair_tensor_rank1_count,0,EXACT_DERIVED
step77_pair_flattening_lb_max,2,EXACT_DERIVED
step77_pair_flattening_lb_min,2,EXACT_DERIVED
step77_gamma_intersection_zero_count,23,EXACT_DERIVED
step77_search_restarts_per_pair,50,EXACT_DERIVED
step77_search_target_rank,22,EXACT_DERIVED
step77_any_exact_hit_rank22,False,MEASURED_FROM_CODE
step77_exact_hit_count,0,MEASURED_FROM_CODE
step77_best_max_abs_residual_across_pairs,0.6361445827733396,MEASURED_FROM_CODE
