label,term,alpha,beta,gamma
commutator_rank20,c01,"[[0.820519,-0.215786,-0.514822],[0.053715,-0.59101,-0.475572],[0.654777,0.064526,-0.229509]]","[[0.191621,-0.976981,-0.829956],[0.568318,-0.176331,-0.377164],[0.532965,0.276452,-0.015291]]","[[0.477506,-0.756429,-0.998668],[0.279853,-0.588399,-0.410645],[0.01094,-0.128452,0.110894]]"
commutator_rank20,c02,"[[0.426266,0.937465,-0.41393],[-0.878768,-0.463787,0.306245],[0.28185,-0.215696,0.037521]]","[[-0.80261,0.979789,-0.243005],[0.090718,0.679696,-0.266944],[-0.394514,-0.169089,0.122914]]","[[0.894997,0.092166,-0.401737],[-0.70995,-1.034431,-0.210498],[0.128465,0.371287,0.139434]]"
commutator_rank20,c03,"[[-0.160131,0.816425,0.693562],[-0.474921,0.147353,0.315181],[-0.445378,-0.23102,0.012778]]","[[1.027768,-0.27029,-0.644857],[0.067283,-0.740289,-0.595693],[0.820162,0.080825,-0.287479]]","[[0.18668,-0.002414,-0.664564],[-0.891969,-0.418867,-0.066473],[-0.762736,-0.319806,0.232187]]"
commutator_rank20,c04,"[[0.240059,-1.147018,-0.980832],[-0.003104,-0.538637,-0.411251],[-0.854589,-0.085481,0.298578]]","[[-0.568199,-0.333006,-0.013017],[0.900099,0.700154,0.152849],[1.188346,0.488639,-0.131956]]","[[-0.196123,-0.581669,-0.545485],[0.999932,0.180473,-0.282947],[0.849453,0.386024,0.01565]]"
commutator_rank20,c05,"[[0.32555,0.365586,-0.185625],[-0.968438,-0.028054,0.157573],[1.237635,0.293926,-0.297496]]","[[1.104029,-0.875763,0.158468],[0.113692,-1.276028,0.458003],[-0.495564,-0.259661,0.172]]","[[0.774152,-0.087501,0.380526],[-0.94505,-0.655596,0.163094],[0.23439,0.257479,-0.118556]]"
commutator_rank20,c06,"[[-0.430939,0.349244,-1.382981],[0.49094,0.886187,-0.7171],[0.158691,0.411602,-0.455248]]","[[0.130021,0.642218,-0.917527],[-0.578051,-0.179541,-0.6981],[1.065448,1.023855,0.04952]]","[[-0.682878,0.911031,-1.123823],[-0.211361,0.989461,-0.937495],[-0.826018,-0.16119,-0.306583]]"
commutator_rank20,c07,"[[-0.09398,-0.4642,0.663197],[0.41782,0.129774,0.504593],[-0.770113,-0.740049,-0.035794]]","[[0.243859,-0.19763,0.782599],[-0.277813,-0.501475,0.405792],[-0.0898,-0.232918,0.257616]]","[[0.251431,0.601697,0.127405],[-0.444072,0.249206,0.406144],[1.235957,0.615386,-0.500637]]"
commutator_rank20,c08,"[[-0.394926,-0.231455,-0.009048],[0.625613,0.486642,0.106238],[0.825958,0.339627,-0.091715]]","[[-0.168087,0.803133,0.686772],[0.002174,0.377149,0.287955],[0.598377,0.059853,-0.209062]]","[[-0.829892,-0.05433,-0.662257],[0.218251,0.597762,-0.065263],[0.520704,0.481005,0.232131]]"
commutator_rank20,c09,"[[0.132051,-0.2738,-0.105529],[-0.429182,0.873013,0.232994],[-0.075496,-0.006888,-1.005064]]","[[0.032426,0.021232,0.550809],[-0.095266,0.078774,-0.698046],[-0.372478,0.709596,-0.1112]]","[[0.109063,0.166708,0.153275],[-0.101991,-0.440111,-0.248238],[0.72217,-0.748967,0.331048]]"
commutator_rank20,c10,"[[-0.450195,-0.139341,-0.544562],[0.600606,0.652311,-0.106267],[-0.740892,-0.618054,-0.202117]]","[[-0.231031,0.408041,-1.135675],[-0.552877,-0.228986,-0.565455],[-0.117067,-0.373191,0.460017]]","[[0.25204,-0.287134,-0.092813],[-0.20426,-0.518299,-0.240732],[0.808855,0.419406,0.266259]]"
commutator_rank20,c11,"[[0.192363,-0.339748,0.945598],[0.460342,0.190661,0.470815],[0.097474,0.31073,-0.383025]]","[[-0.521867,-0.161525,-0.631258],[0.696224,0.756162,-0.123186],[-0.858843,-0.716449,-0.234295]]","[[-0.091171,0.405331,-0.747094],[-0.450325,0.125895,-0.717929],[0.643374,0.48951,-0.034724]]"
