label,term,alpha,beta,gamma
combined_hamilton,h_01,"[[-0.366848,-0.890108,-0.32762],[-0.298319,-0.635525,-0.236703],[-0.572787,0.156904,0.008939]]","[[0.422284,1.024615,0.377128],[0.343399,0.731561,0.272472],[0.659343,-0.180614,-0.010289]]","[[-0.182852,-0.148694,-0.285501],[-0.443667,-0.316772,0.078208],[-0.1633,-0.117982,0.004456]]"
combined_hamilton,h_02,"[[-0.574234,0.833982,0.122545],[0.541907,-0.599739,-0.041204],[-0.036735,0.061177,0.01095]]","[[0.681349,-0.98955,-0.145404],[-0.642992,0.711612,0.04889],[0.043587,-0.072589,-0.012993]]","[[-0.23039,0.21742,-0.014738],[0.334605,-0.240624,0.024545],[0.049166,-0.016532,0.004394]]"
combined_hamilton,h_03,"[[-0.4812,0.885287,0.137595],[-0.338978,-0.470784,-0.283681],[-0.633329,0.186126,-0.159389]]","[[-0.332731,0.612142,0.095142],[-0.23439,-0.325529,-0.196155],[-0.437923,0.128699,-0.110211]]","[[-0.307236,-0.21643,-0.404368],[0.565237,-0.300586,0.118838],[0.087852,-0.181124,-0.101766]]"
combined_hamilton,h_04,"[[-0.1211,0.418888,1.104006],[0.12066,0.555716,-0.263219],[0.636156,-0.500894,-0.434616]]","[[0.132514,-0.458369,-1.208061],[-0.132033,-0.608093,0.288028],[-0.696115,0.548104,0.475579]]","[[-0.06015,0.059932,0.315975],[0.208059,0.27602,-0.248791],[0.548353,-0.13074,-0.215871]]"
combined_hamilton,h_05,"[[0.291585,0.087072,0.96834],[-0.094586,-0.454528,0.424963],[-0.689403,0.322046,0.162943]]","[[-0.289571,-0.08647,-0.961651],[0.093933,0.451388,-0.422027],[0.68464,-0.319821,-0.161817]]","[[0.175356,-0.056882,-0.414598],[0.052364,-0.273348,0.193674],[0.582347,0.255567,0.097992]]"
combined_hamilton,h_06,"[[-0.044122,-0.076561,-0.016917],[-0.079371,1.018715,0.346561],[-0.094759,0.698522,0.244984]]","[[-0.045579,-0.079089,-0.017475],[-0.081992,1.052357,0.358006],[-0.097888,0.72159,0.253075]]","[[-0.020466,-0.036818,-0.043955],[-0.035514,0.472544,0.324018],[-0.007847,0.160757,0.113639]]"
combined_hamilton,h_07,"[[0.434083,-0.486201,0.741113],[0.078539,0.256876,-0.399719],[0.743987,-0.179162,0.257608]]","[[0.461777,-0.517221,0.788397],[0.08355,0.273264,-0.425221],[0.791454,-0.190593,0.274043]]","[[0.206715,0.037402,0.354296],[-0.231534,0.122327,-0.085319],[0.352926,-0.19035,0.122676]]"
combined_hamilton,h_08,"[[1.241949,-0.078042,0.254768],[0.093117,-0.13561,0.093439],[-0.128231,0.038544,-0.04377]]","[[1.192149,-0.074913,0.244552],[0.089383,-0.130172,0.089692],[-0.123089,0.036998,-0.042015]]","[[0.657796,0.049319,-0.067917],[-0.041335,-0.071826,0.020414],[0.134938,0.04949,-0.023182]]"
combined_hamilton,h_09,"[[0.063698,0.03249,0.708983],[-0.145681,0.595824,-0.486662],[-0.121463,0.9602,0.379013]]","[[-0.066071,-0.033701,-0.735397],[0.151108,-0.618021,0.504793],[0.125988,-0.995973,-0.393134]]","[[0.025646,-0.058654,-0.048903],[0.013081,0.239888,0.386592],[0.285448,-0.195938,0.152597]]"
combined_hamilton,h_10,"[[-0.242655,0.049328,-1.188837],[-0.554727,-0.075091,0.322859],[0.411802,-0.749398,0.317745]]","[[0.231774,-0.047116,1.135532],[0.529853,0.071724,-0.308383],[-0.393337,0.715796,-0.303498]]","[[-0.11169,-0.255331,0.189545],[0.022705,-0.034563,-0.344934],[-0.547201,0.148606,0.146252]]"
combined_hamilton,h_11,"[[0.091709,0.085778,0.678646],[0.077926,-0.033534,0.511649],[0.11058,0.57141,1.104129]]","[[-0.083406,-0.078011,-0.617199],[-0.07087,0.030498,-0.465322],[-0.100568,-0.519673,-1.004158]]","[[-0.033334,-0.028324,-0.040194],[-0.031178,0.012189,-0.207694],[-0.246672,-0.185972,-0.401326]]"
combined_hamilton,h_12,"[[0.022933,-0.543663,-1.02855],[0.492093,0.023701,-0.500252],[-0.244228,0.819155,-0.046634]]","[[0.023766,-0.563416,-1.065921],[0.509972,0.024562,-0.518428],[-0.253101,0.848917,-0.048328]]","[[-0.011288,-0.242222,0.120216],[0.267606,-0.011666,-0.40321],[0.506281,0.246238,0.022954]]"
combined_hamilton,h_13,"[[-0.287705,-0.738881,-0.287028],[0.443019,-0.458468,-0.131962],[-0.046559,0.174334,0.059228]]","[[0.500909,1.28643,0.49973],[-0.771319,0.798217,0.229754],[0.081062,-0.303525,-0.103118]]","[[0.196072,-0.30192,0.03173],[0.503552,0.312448,-0.11881],[0.195611,0.089933,-0.040364]]"
combined_hamilton,h_14,"[[0.519308,0.511092,-0.695466],[0.480451,0.374085,-0.481128],[-0.400036,-0.156357,0.145697]]","[[0.42993,0.423128,-0.575769],[0.39776,0.309701,-0.398321],[-0.331185,-0.129446,0.120621]]","[[0.277172,0.256432,-0.213512],[0.272787,0.199662,-0.083453],[-0.371193,-0.256794,0.077764]]"
combined_hamilton,h_15,"[[-0.034776,0.453423,0.801381],[-0.031869,0.460668,0.676546],[0.020442,-1.069159,0.557396]]","[[0.030623,-0.399265,-0.705662],[0.028063,-0.405645,-0.595737],[-0.018,0.941456,-0.490819]]","[[-0.014323,-0.013126,0.008419],[0.186746,0.18973,-0.440341],[0.330054,0.27864,0.229568]]"
combined_hamilton,h_16,"[[-0.127078,0.188938,-0.269788],[-0.117112,0.250121,-0.373117],[0.092345,-0.818392,1.311658]]","[[0.09413,-0.139951,0.199839],[0.086748,-0.185271,0.276377],[-0.068402,0.606204,-0.971579]]","[[0.04647,0.042826,-0.033769],[-0.069092,-0.091466,0.299274],[0.098658,0.136443,-0.479653]]"
combined_hamilton,h_17,"[[-0.611128,0.582057,-0.927255],[-0.573137,-0.198845,0.352008],[0.476837,-0.061287,0.079047]]","[[-0.570192,0.543069,-0.865144],[-0.534747,-0.185526,0.328429],[0.444897,-0.057182,0.073752]]","[[-0.310615,-0.291306,0.24236],[0.29584,-0.101066,-0.03115],[-0.471292,0.178914,0.040177]]"
combined_hamilton,h_18,"[[-0.097099,0.371723,0.819417],[-0.08398,1.010613,-0.333334],[0.072584,-0.577502,-0.159455]]","[[0.086584,-0.331467,-0.730679],[0.074885,-0.90117,0.297236],[-0.064724,0.514962,0.142187]]","[[0.059504,0.051464,-0.044481],[-0.2278,-0.619327,0.353906],[-0.502158,0.204274,0.097718]]"
combined_hamilton,h_19,"[[0.156258,0.603441,-0.839304],[0.063169,0.42337,-0.600894],[0.86632,-0.060093,0.312186]]","[[-0.152988,-0.590814,0.821742],[-0.061848,-0.414511,0.58832],[-0.848193,0.058836,-0.305654]]","[[0.063809,0.025796,0.353766],[0.246418,0.172886,-0.02454],[-0.342734,-0.245378,0.127482]]"
combined_hamilton,h_20,"[[0.820519,-0.215786,-0.514822],[0.053715,-0.59101,-0.475572],[0.654777,0.064526,-0.229509]]","[[0.191621,-0.976981,-0.829956],[0.568318,-0.176331,-0.377164],[0.532965,0.276452,-0.015291]]","[[0.238753,-0.378215,-0.499334],[0.139927,-0.2942,-0.205322],[0.00547,-0.064226,0.055447]]"
combined_hamilton,h_21,"[[0.426266,0.937465,-0.41393],[-0.878768,-0.463787,0.306245],[0.28185,-0.215696,0.037521]]","[[-0.80261,0.979789,-0.243005],[0.090718,0.679696,-0.266944],[-0.394514,-0.169089,0.122914]]","[[0.447499,0.046083,-0.200868],[-0.354975,-0.517216,-0.105249],[0.064233,0.185644,0.069717]]"
combined_hamilton,h_22,"[[-0.160131,0.816425,0.693562],[-0.474921,0.147353,0.315181],[-0.445378,-0.23102,0.012778]]","[[1.027768,-0.27029,-0.644857],[0.067283,-0.740289,-0.595693],[0.820162,0.080825,-0.287479]]","[[0.09334,-0.001207,-0.332282],[-0.445984,-0.209433,-0.033237],[-0.381368,-0.159903,0.116093]]"
combined_hamilton,h_23,"[[0.240059,-1.147018,-0.980832],[-0.003104,-0.538637,-0.411251],[-0.854589,-0.085481,0.298578]]","[[-0.568199,-0.333006,-0.013017],[0.900099,0.700154,0.152849],[1.188346,0.488639,-0.131956]]","[[-0.098061,-0.290835,-0.272743],[0.499966,0.090236,-0.141473],[0.424727,0.193012,0.007825]]"
combined_hamilton,h_24,"[[0.32555,0.365586,-0.185625],[-0.968438,-0.028054,0.157573],[1.237635,0.293926,-0.297496]]","[[1.104029,-0.875763,0.158468],[0.113692,-1.276028,0.458003],[-0.495564,-0.259661,0.172]]","[[0.387076,-0.043751,0.190263],[-0.472525,-0.327798,0.081547],[0.117195,0.12874,-0.059278]]"
combined_hamilton,h_25,"[[-0.430939,0.349244,-1.382981],[0.49094,0.886187,-0.7171],[0.158691,0.411602,-0.455248]]","[[0.130021,0.642218,-0.917527],[-0.578051,-0.179541,-0.6981],[1.065448,1.023855,0.04952]]","[[-0.341439,0.455515,-0.561911],[-0.105681,0.494731,-0.468747],[-0.413009,-0.080595,-0.153291]]"
combined_hamilton,h_26,"[[-0.09398,-0.4642,0.663197],[0.41782,0.129774,0.504593],[-0.770113,-0.740049,-0.035794]]","[[0.243859,-0.19763,0.782599],[-0.277813,-0.501475,0.405792],[-0.0898,-0.232918,0.257616]]","[[0.125716,0.300848,0.063702],[-0.222036,0.124603,0.203072],[0.617979,0.307693,-0.250319]]"
combined_hamilton,h_27,"[[-0.394926,-0.231455,-0.009048],[0.625613,0.486642,0.106238],[0.825958,0.339627,-0.091715]]","[[-0.168087,0.803133,0.686772],[0.002174,0.377149,0.287955],[0.598377,0.059853,-0.209062]]","[[-0.414946,-0.027165,-0.331129],[0.109125,0.298881,-0.032632],[0.260352,0.240503,0.116065]]"
combined_hamilton,h_28,"[[0.132051,-0.2738,-0.105529],[-0.429182,0.873013,0.232994],[-0.075496,-0.006888,-1.005064]]","[[0.032426,0.021232,0.550809],[-0.095266,0.078774,-0.698046],[-0.372478,0.709596,-0.1112]]","[[0.054532,0.083354,0.076638],[-0.050995,-0.220055,-0.124119],[0.361085,-0.374484,0.165524]]"
combined_hamilton,h_29,"[[-0.450195,-0.139341,-0.544562],[0.600606,0.652311,-0.106267],[-0.740892,-0.618054,-0.202117]]","[[-0.231031,0.408041,-1.135675],[-0.552877,-0.228986,-0.565455],[-0.117067,-0.373191,0.460017]]","[[0.12602,-0.143567,-0.046406],[-0.10213,-0.25915,-0.120366],[0.404428,0.209703,0.13313]]"
combined_hamilton,h_30,"[[0.192363,-0.339748,0.945598],[0.460342,0.190661,0.470815],[0.097474,0.31073,-0.383025]]","[[-0.521867,-0.161525,-0.631258],[0.696224,0.756162,-0.123186],[-0.858843,-0.716449,-0.234295]]","[[-0.045585,0.202666,-0.373547],[-0.225163,0.062947,-0.358964],[0.321687,0.244755,-0.017362]]"
