term_family,term,other_family,relative_span_residual,lies_in_other_span,provenance
commutator,c01,anticommutator,9.8647552589944709e-01,False,EXACT_DERIVED
commutator,c02,anticommutator,9.8295939371647489e-01,False,EXACT_DERIVED
commutator,c03,anticommutator,9.7085885917713433e-01,False,EXACT_DERIVED
commutator,c04,anticommutator,9.6442087376917096e-01,False,EXACT_DERIVED
commutator,c05,anticommutator,9.8989921756238108e-01,False,EXACT_DERIVED
commutator,c06,anticommutator,9.8251193265737524e-01,False,EXACT_DERIVED
commutator,c07,anticommutator,9.5294633137442453e-01,False,EXACT_DERIVED
commutator,c08,anticommutator,9.9281208109974373e-01,False,EXACT_DERIVED
commutator,c09,anticommutator,9.9725728196614116e-01,False,EXACT_DERIVED
commutator,c10,anticommutator,9.7116990803340864e-01,False,EXACT_DERIVED
commutator,c11,anticommutator,9.9212807717038820e-01,False,EXACT_DERIVED
commutator,c12,anticommutator,9.8774704820726245e-01,False,EXACT_DERIVED
commutator,c13,anticommutator,9.9708259040572855e-01,False,EXACT_DERIVED
commutator,c14,anticommutator,9.8203136812761938e-01,False,EXACT_DERIVED
commutator,c15,anticommutator,9.9661475340249384e-01,False,EXACT_DERIVED
commutator,c16,anticommutator,9.7956108189577629e-01,False,EXACT_DERIVED
commutator,c17,anticommutator,9.9565958859724579e-01,False,EXACT_DERIVED
commutator,c18,anticommutator,9.4899123145772191e-01,False,EXACT_DERIVED
commutator,c19,anticommutator,9.8444337048995612e-01,False,EXACT_DERIVED
commutator,c20,anticommutator,9.8568517087715890e-01,False,EXACT_DERIVED
anticommutator,s01,commutator,9.9248437248553489e-01,False,EXACT_DERIVED
anticommutator,s02,commutator,9.9793960537354187e-01,False,EXACT_DERIVED
anticommutator,s03,commutator,9.8842017698420559e-01,False,EXACT_DERIVED
anticommutator,s04,commutator,9.9049093710601588e-01,False,EXACT_DERIVED
anticommutator,s05,commutator,9.4833316764317355e-01,False,EXACT_DERIVED
anticommutator,s06,commutator,9.9641384797519783e-01,False,EXACT_DERIVED
anticommutator,s07,commutator,9.9617083922902738e-01,False,EXACT_DERIVED
anticommutator,s08,commutator,9.9625691864430366e-01,False,EXACT_DERIVED
anticommutator,s09,commutator,9.8688586041408033e-01,False,EXACT_DERIVED
anticommutator,s10,commutator,9.7965587567853474e-01,False,EXACT_DERIVED
anticommutator,s11,commutator,9.9411353608942521e-01,False,EXACT_DERIVED
anticommutator,s12,commutator,9.6419661954091984e-01,False,EXACT_DERIVED
anticommutator,s13,commutator,9.6520809564367327e-01,False,EXACT_DERIVED
anticommutator,s14,commutator,9.8668983184307613e-01,False,EXACT_DERIVED
anticommutator,s15,commutator,9.7728876435505330e-01,False,EXACT_DERIVED
anticommutator,s16,commutator,9.9873247068348914e-01,False,EXACT_DERIVED
anticommutator,s17,commutator,9.7424461912692795e-01,False,EXACT_DERIVED
anticommutator,s18,commutator,9.8478749149018940e-01,False,EXACT_DERIVED
anticommutator,s19,commutator,9.4798261730875311e-01,False,EXACT_DERIVED
