index,principal_cosine,principal_angle_radians,provenance
1,4.0516664456189633e-01,1.1536352275006521e+00,EXACT_DERIVED
2,3.8599579338552309e-01,1.1745092975060156e+00,EXACT_DERIVED
3,2.7313152046657918e-01,1.2941494949623267e+00,EXACT_DERIVED
4,2.3621653088829478e-01,1.3323259880054710e+00,EXACT_DERIVED
5,1.9903372084694523e-01,1.3704245114496905e+00,EXACT_DERIVED
6,1.8550685777682946e-01,1.3842086788334469e+00,EXACT_DERIVED
7,1.3398586900106813e-01,1.4364062936875808e+00,EXACT_DERIVED
8,9.4091408158830964e-02,1.4765655276934071e+00,EXACT_DERIVED
9,9.1191026089915306e-02,1.4794784376217469e+00,EXACT_DERIVED
10,7.1774003089537061e-02,1.4989605563574524e+00,EXACT_DERIVED
11,6.3891639327315661e-02,1.5068611383022770e+00,EXACT_DERIVED
12,4.3697620760812288e-02,1.5270847874338191e+00,EXACT_DERIVED
13,4.1625884626083132e-02,1.5291584118254127e+00,EXACT_DERIVED
14,2.4290838210649666e-02,1.5465030991692075e+00,EXACT_DERIVED
15,1.8158514921920044e-02,1.5526368138186548e+00,EXACT_DERIVED
16,1.5620866817476611e-02,1.5551748246291808e+00,EXACT_DERIVED
17,5.5589341291876240e-08,1.5707962712055554e+00,EXACT_DERIVED
18,2.4251628682904943e-08,1.5707963025432679e+00,EXACT_DERIVED
19,4.3014475526401334e-09,1.5707963224934491e+00,EXACT_DERIVED
