comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c07,s19,2.4840501373589643e-01,2.6952627799423395e-01,2.6952627799423395e-01,-3.0124022576124108e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c18,s12,3.1246959638255561e-01,-1.8987566600638095e-01,1.8987566600638095e-01,-7.0867056554791450e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c07,s05,5.2642807460946972e-01,-1.8223449265482286e-01,1.8223449265482286e-01,-3.0124022576124108e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c18,s13,3.1030784369604175e-01,1.7800342360298529e-01,1.7800342360298529e-01,-7.0867056554791450e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c03,s12,2.1755678296783365e-01,1.7376168854601159e-01,1.7376168854601159e-01,-3.5315517750773351e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c03,s15,2.3862675332169686e-01,1.6707947287099417e-01,1.6707947287099417e-01,-3.5315517750773351e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c16,s10,4.3218723741248477e-01,-1.5669012597943313e-01,1.5669012597943313e-01,-2.4388465500462311e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c10,s05,4.5921002237225617e-01,1.4626199356278971e-01,1.4626199356278971e-01,2.8834509279982874e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c03,s18,2.7863636222231242e-01,1.4033268963741521e-01,1.4033268963741521e-01,-3.5315517750773351e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c16,s09,4.5349668038369284e-01,-1.3370710799564128e-01,1.3370710799564128e-01,-2.4388465500462311e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c10,s14,3.1466889293007261e-01,-1.3365684971633493e-01,1.3365684971633493e-01,2.8834509279982874e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c03,s13,3.7405447694351324e-01,-1.3224322368364674e-01,1.3224322368364674e-01,-3.5315517750773351e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c06,s05,4.2132282789847525e-01,-1.2891783914487173e-01,1.2891783914487173e-01,9.7193075978288217e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c14,s17,2.8517097907067807e-01,1.2741568839745168e-01,1.2741568839745168e-01,3.4105559466745525e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c04,s13,3.3736082845517512e-01,1.2734392669485214e-01,1.2734392669485214e-01,5.7422442791912021e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c07,s17,4.4130436063447709e-01,-1.2227954745241529e-01,1.2227954745241529e-01,-3.0124022576124108e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c19,s17,2.2725287862523463e-01,1.1867431552267285e-01,1.1867431552267285e-01,-3.4401226182905487e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c18,s15,3.0106779881732310e-01,-1.1631459774131504e-01,1.1631459774131504e-01,-7.0867056554791450e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c12,s10,3.6590249624613924e-01,1.1594479895798149e-01,1.1594479895798149e-01,-3.3863453379463810e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c04,s12,2.8003744670357217e-01,-1.1158898943961186e-01,1.1158898943961186e-01,5.7422442791912021e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c01,s03,3.2775769586783782e-01,-1.0249102968036573e-01,1.0249102968036573e-01,3.5463934824844814e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c04,s01,4.0583893538424975e-01,-1.0230008246816644e-01,1.0230008246816644e-01,5.7422442791912021e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c04,s04,3.1449931383483326e-01,1.0081788958549709e-01,1.0081788958549709e-01,5.7422442791912021e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c12,s09,3.3572793557186636e-01,9.9965471080585927e-02,9.9965471080585927e-02,-3.3863453379463810e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c18,s03,4.7309929439377818e-01,-9.8972512459917311e-02,9.8972512459917311e-02,-7.0867056554791450e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
