equation_index,full_tensor_row_index,a_flat_index,b_flat_index,c_flat_index,target_value,start_parameter_value,endpoint_value,endpoint_abs_residual,provenance
0,601,7,3,7,0.0000000000000000e+00,1.8897494750931276e-03,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
1,520,6,3,7,0.0000000000000000e+00,-3.5614826740927086e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
2,100,1,2,1,0.0000000000000000e+00,1.4712314545214544e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
3,281,3,4,2,0.0000000000000000e+00,1.5452353792319273e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
4,619,7,5,7,0.0000000000000000e+00,-4.0624803520018404e-02,-2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
5,666,8,2,0,0.0000000000000000e+00,2.9719746646164058e-03,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
6,668,8,2,2,0.0000000000000000e+00,6.0497360172291015e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
7,507,6,2,3,0.0000000000000000e+00,1.6834696178259523e-01,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
8,205,2,4,7,0.0000000000000000e+00,-1.2740105400262403e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
9,629,7,6,8,0.0000000000000000e+00,3.5031951643316994e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
10,504,6,2,0,0.0000000000000000e+00,1.1578608995456041e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
11,307,3,7,1,0.0000000000000000e+00,8.4577732671576200e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
12,187,2,2,7,0.0000000000000000e+00,-2.7060576301003891e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
13,121,1,4,4,0.0000000000000000e+00,7.3336697470125611e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
14,700,8,5,7,0.0000000000000000e+00,6.4696525888873646e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
15,597,7,3,3,0.0000000000000000e+00,2.9729695011711410e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
16,146,1,7,2,0.0000000000000000e+00,-2.0948615988636288e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
17,513,6,3,0,0.0000000000000000e+00,1.0333562934826734e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
18,381,4,6,3,0.0000000000000000e+00,-1.0293973089039454e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
19,310,3,7,4,0.0000000000000000e+00,-8.6771976830395059e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
20,209,2,5,2,0.0000000000000000e+00,7.5137062531050458e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
21,548,6,6,8,0.0000000000000000e+00,-1.7403454193886703e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
22,232,2,7,7,0.0000000000000000e+00,-1.3058747163255779e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
23,189,2,3,0,0.0000000000000000e+00,-5.4192112041985485e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
24,592,7,2,7,0.0000000000000000e+00,-1.6245549469509291e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
25,702,8,6,0,0.0000000000000000e+00,6.7363595634416407e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
26,99,1,2,0,0.0000000000000000e+00,-8.7917528652015742e-02,1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
27,682,8,3,7,0.0000000000000000e+00,5.5598264150672372e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
28,22,0,2,4,0.0000000000000000e+00,4.9894212800329241e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
29,686,8,4,2,0.0000000000000000e+00,-1.5994378064464509e-01,2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
30,546,6,6,6,0.0000000000000000e+00,8.3691254637253465e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
31,263,3,2,2,0.0000000000000000e+00,1.2226586613490631e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
32,359,4,3,8,0.0000000000000000e+00,-2.4485544407724935e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
33,385,4,6,7,0.0000000000000000e+00,9.7495540700841987e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
34,229,2,7,4,0.0000000000000000e+00,5.9847034710744929e-03,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
35,37,0,4,1,0.0000000000000000e+00,1.1794077683672144e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
36,377,4,5,8,0.0000000000000000e+00,-2.0533288258458526e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
37,9,0,1,0,0.0000000000000000e+00,-8.5949168704900880e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
38,65,0,7,2,0.0000000000000000e+00,-3.3731353462340685e-03,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
39,519,6,3,6,0.0000000000000000e+00,5.8658325819436086e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
40,713,8,7,2,0.0000000000000000e+00,-1.4938695949770386e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
41,283,3,4,4,0.0000000000000000e+00,2.0362893365105772e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
42,94,1,1,4,0.0000000000000000e+00,-1.2337037594125855e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
43,300,3,6,3,0.0000000000000000e+00,-6.1147904172088929e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
44,722,8,8,2,0.0000000000000000e+00,-1.0115156927081981e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
45,145,1,7,1,0.0000000000000000e+00,-1.1449188342887873e-01,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
46,540,6,6,0,0.0000000000000000e+00,2.0397197942073730e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
47,511,6,2,7,0.0000000000000000e+00,9.6643598464611569e-02,-2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
48,265,3,2,4,0.0000000000000000e+00,3.9794040770025352e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
49,547,6,6,7,0.0000000000000000e+00,-4.8385913929369972e-02,1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
50,472,5,7,4,1.0000000000000000e+00,1.0606737820051557e+00,9.9999999999999989e-01,1.1102230246251565e-16,MEASURED_FROM_CODE
51,495,6,1,0,0.0000000000000000e+00,-1.1155051884150835e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
52,588,7,2,3,0.0000000000000000e+00,4.0958774277374266e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
53,691,8,4,7,0.0000000000000000e+00,-1.2886463669765724e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
54,119,1,4,2,0.0000000000000000e+00,-6.4115520908576640e-02,-2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
55,148,1,7,4,0.0000000000000000e+00,1.1235960811871504e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
56,266,3,2,5,1.0000000000000000e+00,9.8815133632413443e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
57,374,4,5,5,1.0000000000000000e+00,9.7750846868836805e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
58,482,5,8,5,1.0000000000000000e+00,1.0126014636175580e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
59,728,8,8,8,1.0000000000000000e+00,8.9890490478988538e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
60,600,7,3,6,1.0000000000000000e+00,9.8955209499991281e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
61,10,0,1,1,1.0000000000000000e+00,1.0541619583066830e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
62,180,2,2,0,0.0000000000000000e+00,4.1198041432653820e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
63,486,6,0,0,0.0000000000000000e+00,-3.0852520752897239e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
64,101,1,2,2,0.0000000000000000e+00,4.3820088463685347e-02,1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
65,512,6,2,8,1.0000000000000000e+00,1.0324398423512766e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
66,327,4,0,3,0.0000000000000000e+00,-7.7939654250478441e-03,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
67,610,7,4,7,1.0000000000000000e+00,1.1003971001837372e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
68,97,1,1,7,0.0000000000000000e+00,-5.3084591181474905e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
69,173,2,1,2,0.0000000000000000e+00,-9.8673937104576837e-02,2.2204460492503131e-16,2.2204460492503131e-16,MEASURED_FROM_CODE
70,708,8,6,6,1.0000000000000000e+00,1.1373149365714543e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
71,226,2,7,1,1.0000000000000000e+00,1.0318863015419326e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
72,354,4,3,3,1.0000000000000000e+00,1.0269902460762952e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
73,128,1,5,2,1.0000000000000000e+00,9.4417499630845203e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
74,115,1,3,7,0.0000000000000000e+00,4.1866453855113006e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
75,40,0,4,4,0.0000000000000000e+00,-4.4809009239741959e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
76,516,6,3,3,0.0000000000000000e+00,4.9390160274941586e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
77,543,6,6,3,0.0000000000000000e+00,-2.6280742744811514e-02,1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
78,718,8,7,7,1.0000000000000000e+00,8.7367656633539947e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
79,216,2,6,0,1.0000000000000000e+00,1.0470076419494219e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
80,521,6,3,8,0.0000000000000000e+00,2.1886461466333218e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
81,0,0,0,0,1.0000000000000000e+00,9.6292967699662102e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
82,256,3,1,4,1.0000000000000000e+00,1.0018744378534286e+00,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
83,236,2,8,2,1.0000000000000000e+00,9.9152278718009401e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
84,620,7,5,8,1.0000000000000000e+00,8.1963705414523602e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
85,264,3,2,3,0.0000000000000000e+00,6.3560583514187696e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
86,332,4,0,8,0.0000000000000000e+00,-2.1271462883569814e-01,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
87,171,2,1,0,0.0000000000000000e+00,3.5507695654338756e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
88,151,1,7,7,0.0000000000000000e+00,3.6635565916035673e-02,0.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
89,262,3,2,1,0.0000000000000000e+00,-7.7991911923436685e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
90,364,4,4,4,1.0000000000000000e+00,9.6691736531826455e-01,1.0000000000000000e+00,0.0000000000000000e+00,MEASURED_FROM_CODE
91,493,6,0,7,0.0000000000000000e+00,-7.1611157498899680e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
92,376,4,5,7,0.0000000000000000e+00,-3.7990638521834708e-02,-1.1102230246251565e-16,1.1102230246251565e-16,MEASURED_FROM_CODE
93,20,0,2,2,1.0000000000000000e+00,9.8783334999007000e-01,9.9999999999999989e-01,1.1102230246251565e-16,MEASURED_FROM_CODE
