variable_index,term_index,term_id,factor_name,flat_index,row_index,col_index,witness_value,start_value,endpoint_value,provenance
0,0,t01,alpha,3,1,0,1.0000000000000000e+00,1.0388132099765410e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
1,0,t01,beta,4,1,1,-1.0000000000000000e+00,-1.0326896210313152e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
2,0,t01,beta,7,2,1,-1.0000000000000000e+00,-9.9128023008818889e-01,-9.9999999999999989e-01,MEASURED_FROM_CODE
3,0,t01,gamma,1,0,1,-1.0000000000000000e+00,-9.5041670154128544e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
4,0,t01,gamma,2,0,2,-1.0000000000000000e+00,-9.6297655293918716e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
5,1,t02,alpha,1,0,1,-1.0000000000000000e+00,-9.9336586460850584e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
6,1,t02,alpha,3,1,0,1.0000000000000000e+00,9.7445436877968294e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
7,1,t02,beta,2,0,2,1.0000000000000000e+00,9.8269461482991527e-01,9.9999999999999989e-01,MEASURED_FROM_CODE
8,1,t02,beta,4,1,1,-1.0000000000000000e+00,-8.9687138639265662e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
9,1,t02,beta,7,2,1,-1.0000000000000000e+00,-9.5296945880056572e-01,-9.9999999999999989e-01,MEASURED_FROM_CODE
10,1,t02,gamma,1,0,1,1.0000000000000000e+00,9.6284116050694835e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
11,1,t02,gamma,2,0,2,1.0000000000000000e+00,1.0052292289818279e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
12,1,t02,gamma,4,1,1,-1.0000000000000000e+00,-1.0281388949059604e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
13,2,t03,alpha,3,1,0,1.0000000000000000e+00,9.4865684239089987e-01,1.0000000000000000e+00,MEASURED_FROM_CODE
14,2,t03,alpha,5,1,2,-1.0000000000000000e+00,-9.6609569172744891e-01,-1.0000000000000000e+00,MEASURED_FROM_CODE
15,2,t03,gamma,4,1,1,1.0000000000000000e+00,1.0978972280774737e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
16,3,t04,alpha,2,0,2,1.0000000000000000e+00,1.0057735069623917e+00,1.0000000000000000e+00,MEASURED_FROM_CODE
17,3,t04,gamma,1,0,1,-1.0000000000000000e+00,-1.0259628976094290e+00,-1.0000000000000000e+00,MEASURED_FROM_CODE
18,3,t04,gamma,4,1,1,1.0000000000000000e+00,1.0856445482484045e+00,9.9999999999999989e-01,MEASURED_FROM_CODE
