chart_id,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_selected_consistency_max_abs,start_full_tensor_max_abs_residual,error,provenance
chart_00_balanced,screened_ok,475,475,475,8.0679647813819409e+11,1.4700994436546433e-09,1.4700994089601738e-09,,MEASURED_FROM_CODE
chart_01,screened_ok,475,475,475,5.7124491770804321e+11,1.4700994054907268e-09,1.4700994054907268e-09,,MEASURED_FROM_CODE
chart_02,screened_ok,475,475,475,4.5551752185454028e+11,1.4700993573521504e-09,1.4700993538827034e-09,,MEASURED_FROM_CODE
chart_03,screened_ok,475,475,475,5.8864370263250586e+11,1.4700993217903191e-09,1.4700992940347435e-09,,MEASURED_FROM_CODE
chart_04,screened_ok,475,475,475,4.1726818327061340e+11,1.4700995130435823e-09,1.4700994922269006e-09,,MEASURED_FROM_CODE
chart_05,screened_ok,475,475,475,7.8760905805863318e+11,1.4700994054907268e-09,1.4700994124296207e-09,,MEASURED_FROM_CODE
chart_06,screened_ok,475,475,475,6.1102380486498340e+11,1.4700994436546433e-09,1.4700994991657945e-09,,MEASURED_FROM_CODE
chart_07,screened_ok,475,475,475,5.4711860406742773e+11,1.4700994189348338e-09,1.4700994050570459e-09,,MEASURED_FROM_CODE
chart_08,screened_ok,475,475,475,6.2135110846752673e+11,1.4700993816382790e-09,1.4700994475577711e-09,,MEASURED_FROM_CODE
chart_09,screened_ok,475,475,475,4.0997880870426276e+11,1.4700993642910443e-09,1.4700994267410894e-09,,MEASURED_FROM_CODE
chart_10,screened_ok,475,475,475,4.5533516801365137e+11,1.4700994297768555e-09,1.4700994748796659e-09,,MEASURED_FROM_CODE
chart_11,screened_ok,475,475,475,4.6485861466259503e+11,1.4700994891911345e-09,1.4700994683744528e-09,,MEASURED_FROM_CODE
chart_12,screened_ok,475,475,475,5.6631184912682800e+11,1.4700993916129390e-09,1.4700994020212799e-09,,MEASURED_FROM_CODE
