config_rank,case_id,dropped_terms,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,provenance
1,step83_t10_t11_t15_t17,t10;t11;t15;t17,93,92,92,5.3313656860410653e+01,1.0000000000000000e+00,6.0000000000000000e+00,MEASURED_FROM_CODE
2,step83_t10_t11_t15_t22,t10;t11;t15;t22,94,93,93,5.3313656860410660e+01,1.0000000000000000e+00,6.0827625302982193e+00,MEASURED_FROM_CODE
3,step83_t03_t11_t12_t15,t03;t11;t12;t15,93,93,93,5.7858845258488643e+01,1.0000000000000000e+00,6.0000000000000000e+00,MEASURED_FROM_CODE
4,step83_t06_t10_t12_t15,t06;t10;t12;t15,92,92,92,5.7955237071863841e+01,1.0000000000000000e+00,6.0000000000000000e+00,MEASURED_FROM_CODE
5,step83_t06_t09_t10_t15,t06;t09;t10;t15,93,93,93,6.0106168542601061e+01,1.0000000000000000e+00,5.8309518948453007e+00,MEASURED_FROM_CODE
6,step83_t06_t10_t11_t15,t06;t10;t11;t15,91,91,91,6.5033571642873540e+01,1.0000000000000000e+00,6.3245553203367590e+00,MEASURED_FROM_CODE
7,step83_t06_t09_t11_t15,t06;t09;t11;t15,94,94,94,7.5352192372258713e+01,1.0000000000000000e+00,5.8309518948453007e+00,MEASURED_FROM_CODE
8,step83_t03_t09_t10_t15,t03;t09;t10;t15,93,93,93,7.9304297356769467e+01,1.0000000000000000e+00,5.8309518948453007e+00,MEASURED_FROM_CODE
9,step83_t10_t11_t12_t15,t10;t11;t12;t15,90,89,89,7.9350360178757654e+01,1.0000000000000000e+00,6.6332495807107996e+00,MEASURED_FROM_CODE
10,step83_t09_t11_t12_t17,t09;t11;t12;t17,97,94,94,8.4096342735232071e+01,1.0000000000000000e+00,5.2915026221291814e+00,MEASURED_FROM_CODE
11,step83_t03_t06_t10_t15,t03;t06;t10;t15,93,92,92,8.5476228642974320e+01,1.0000000000000000e+00,5.6568542494923806e+00,MEASURED_FROM_CODE
12,step83_t09_t11_t12_t22,t09;t11;t12;t22,98,94,94,8.5958898550488456e+01,1.0000000000000000e+00,5.1961524227066320e+00,MEASURED_FROM_CODE
13,step83_t06_t11_t12_t15,t06;t11;t12;t15,93,93,93,8.6073857546890963e+01,1.0000000000000000e+00,6.0000000000000000e+00,MEASURED_FROM_CODE
14,step83_t06_t09_t15_t22,t06;t09;t15;t22,99,98,98,8.6728505254436158e+01,1.0000000000000000e+00,4.7958315233127191e+00,MEASURED_FROM_CODE
15,step83_t06_t09_t15_t17,t06;t09;t15;t17,98,97,97,8.6728505254436328e+01,1.0000000000000000e+00,4.6904157598234297e+00,MEASURED_FROM_CODE
16,step83_t03_t09_t11_t15,t03;t09;t11;t15,94,94,94,8.9348871024004751e+01,1.0000000000000000e+00,5.8309518948453007e+00,MEASURED_FROM_CODE
17,step83_t03_t06_t12_t22,t03;t06;t12;t22,100,97,97,9.0486136447540261e+01,1.0000000000000000e+00,4.1231056256176606e+00,MEASURED_FROM_CODE
18,step83_t06_t10_t12_t22,t06;t10;t12;t22,97,94,94,9.1983591419226485e+01,1.0000000000000000e+00,5.0000000000000000e+00,MEASURED_FROM_CODE
19,step83_t10_t12_t15_t17,t10;t12;t15;t17,94,93,93,9.2207101331708529e+01,1.0000000000000000e+00,5.6568542494923806e+00,MEASURED_FROM_CODE
20,step83_t06_t10_t12_t17,t06;t10;t12;t17,96,94,94,9.3711327182492454e+01,1.0000000000000000e+00,5.0990195135927845e+00,MEASURED_FROM_CODE
21,step83_t06_t11_t15_t17,t06;t11;t15;t17,96,96,96,9.5225045031392881e+01,1.0000000000000000e+00,5.2915026221291814e+00,MEASURED_FROM_CODE
22,step83_t09_t10_t11_t15,t09;t10;t11;t15,91,90,90,9.5445045333307633e+01,1.0000000000000000e+00,6.4807406984078604e+00,MEASURED_FROM_CODE
23,step83_t03_t09_t11_t12,t03;t09;t11;t12,95,92,92,9.7379827932022522e+01,1.0000000000000000e+00,5.4772255750516612e+00,MEASURED_FROM_CODE
24,step83_t03_t06_t09_t15,t03;t06;t09;t15,96,96,96,9.7443617107123387e+01,1.0000000000000000e+00,5.0990195135927845e+00,MEASURED_FROM_CODE
