case_id,dropped_terms,retained_term_count,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,error,provenance
step83_t03_t06_t09_t10,t03;t06;t09;t10,19,screened_ok,95,92,92,1.4751345283351145e+02,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t03_t06_t09_t11,t03;t06;t09;t11,19,screened_ok,96,93,93,1.4188496179004179e+02,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t03_t06_t09_t12,t03;t06;t09;t12,19,screened_ok,97,94,94,1.8145896279581331e+02,1.0000000000000000e+00,4.6904157598234297e+00,,MEASURED_FROM_CODE
step83_t03_t06_t09_t15,t03;t06;t09;t15,19,screened_ok,96,96,96,9.7443617107123387e+01,1.0000000000000000e+00,5.0990195135927845e+00,,MEASURED_FROM_CODE
step83_t03_t06_t09_t17,t03;t06;t09;t17,19,screened_ok,100,98,98,2.2453719604672435e+02,1.0000000000000000e+00,4.0000000000000000e+00,,MEASURED_FROM_CODE
step83_t03_t06_t09_t22,t03;t06;t09;t22,19,screened_ok,101,98,98,1.4522632026789717e+02,1.0000000000000000e+00,3.8729833462074170e+00,,MEASURED_FROM_CODE
step83_t03_t06_t10_t11,t03;t06;t10;t11,19,screened_ok,93,90,90,1.1888325237830681e+02,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t03_t06_t10_t12,t03;t06;t10;t12,19,screened_ok,94,91,91,1.5218045867507283e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t03_t06_t10_t15,t03;t06;t10;t15,19,screened_ok,93,92,92,8.5476228642974320e+01,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t03_t06_t10_t17,t03;t06;t10;t17,19,screened_ok,97,94,94,1.4122642498601641e+02,1.0000000000000000e+00,4.6904157598234297e+00,,MEASURED_FROM_CODE
step83_t03_t06_t10_t22,t03;t06;t10;t22,19,screened_ok,98,94,94,1.4213016047971234e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
step83_t03_t06_t11_t12,t03;t06;t11;t12,19,screened_ok,95,92,92,1.5085002144986464e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
step83_t03_t06_t11_t15,t03;t06;t11;t15,19,screened_ok,94,94,94,1.4570139160521157e+02,1.0000000000000000e+00,5.6568542494923806e+00,,MEASURED_FROM_CODE
step83_t03_t06_t11_t17,t03;t06;t11;t17,19,screened_ok,98,96,96,1.3631973748553395e+02,1.0000000000000000e+00,4.6904157598234297e+00,,MEASURED_FROM_CODE
step83_t03_t06_t11_t22,t03;t06;t11;t22,19,screened_ok,99,96,96,1.1917527961343596e+02,1.0000000000000000e+00,4.5825756949558398e+00,,MEASURED_FROM_CODE
step83_t03_t06_t12_t15,t03;t06;t12;t15,19,screened_ok,95,95,95,1.2468767175806116e+02,1.0000000000000000e+00,5.2915026221291814e+00,,MEASURED_FROM_CODE
