case_id,track,seed,support_signature,nnz_alpha,nnz_beta,nnz_gamma,status,viable,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,start_full_tensor_fro_residual,independent_variable_rank,dropped_variable_count,fixed_gauge_count,gamma_union_size,alpha_union_size,beta_union_size,full_gamma_coverage,unique_gamma_support_count,error
step83b_track2_screen_0001,track2_screen,8302001,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,52.89723773526376,11.666125116847494,54.313062196092915,133,0,38,9,9,9,True,18,
step83b_track2_screen_0002,track2_screen,8302002,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,70.62172710913737,9.311559588698438,62.07971155234791,171,0,38,9,9,9,True,16,
step83b_track2_screen_0003,track2_screen,8302003,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,42.34445002036153,8.155910259979892,57.10430170014419,152,0,38,9,9,9,True,16,
step83b_track2_screen_0004,track2_screen,8302004,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,95.56735269990487,11.07933858139816,56.9288344073524,152,0,38,9,9,9,True,18,
step83b_track2_screen_0005,track2_screen,8302005,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,154.66812760081973,9.730656746399632,79.63494309515245,190,0,38,9,9,9,True,18,
step83b_track2_screen_0006,track2_screen,8302006,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,116.17477353038693,9.562676383144451,63.3729007859042,152,0,38,9,9,9,True,15,
step83b_track2_screen_0007,track2_screen,8302007,"(3,3,3)",3,3,3,screened_ok,True,133,133,133,132.20221757601945,10.553631253150503,59.02032703854004,133,0,38,9,9,9,True,17,
step83b_track2_screen_0008,track2_screen,8302008,"(4,4,3)",4,4,3,screened_ok,True,171,171,171,131.6694877860137,14.26599344132217,72.47270454975622,171,0,38,9,9,9,True,17,
step83b_track2_screen_0009,track2_screen,8302009,"(4,3,3)",4,3,3,screened_ok,True,152,152,152,85.16902476648133,9.049463064106734,56.18294478045131,152,0,38,9,9,9,True,18,
step83b_track2_screen_0010,track2_screen,8302010,"(3,4,3)",3,4,3,screened_ok,True,152,152,152,94.54732967125759,9.290468371674143,60.35010882186734,152,0,38,9,9,9,True,17,
step83b_track2_screen_0011,track2_screen,8302011,"(4,4,4)",4,4,4,screened_ok,True,190,190,190,203.91236936386758,11.141725850373117,85.26126736125224,190,0,38,9,9,9,True,18,
step83b_track2_screen_0012,track2_screen,8302012,"(4,4,2)",4,4,2,screened_ok,True,152,152,152,96.50501617973532,10.271495321551022,48.17567792657538,152,0,38,8,9,9,False,18,
