case_id,track,status,initial_variable_count,reduced_variable_count,selected_equation_count,square_jacobian_condition_number,start_full_tensor_max_abs_residual,num_solutions_returned,endpoint_max_imag,endpoint_selected_residual_max_abs,endpoint_full_tensor_max_abs_residual,endpoint_to_start_chart_max_abs,exact_hit,julia_return_code,stdout_path,runtime_seconds,provenance
step83b_track2_screen_0829,track2,no_solution_returned,133,133,133,4.5290626494005927e+01,1.1722869342633537e+01,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0829_stdout.txt,8.3960782527923584e+01,MEASURED_FROM_CODE
step83b_track2_screen_0199,track2,no_solution_returned,133,133,133,5.3712960750138755e+01,1.0370232104528903e+01,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0199_stdout.txt,8.4732090234756470e+01,MEASURED_FROM_CODE
step83b_track2_screen_0283,track2,no_solution_returned,133,133,133,5.0161394537866400e+01,9.0215761761397442e+00,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0283_stdout.txt,8.6914830207824707e+01,MEASURED_FROM_CODE
step83b_track2_screen_0361,track2,no_solution_returned,133,133,133,5.0926061144046741e+01,8.7735496128843984e+00,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0361_stdout.txt,9.2566350221633911e+01,MEASURED_FROM_CODE
step83b_track2_screen_0739,track2,no_solution_returned,133,133,133,4.5815795731605036e+01,8.0168705370982529e+00,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0739_stdout.txt,9.6311094522476196e+01,MEASURED_FROM_CODE
step83b_track2_screen_0583,track2,no_solution_returned,133,133,133,5.0786436649690948e+01,1.0227127147977251e+01,0,0.0000000000000000e+00,,,,,0,outputs\exports\step83b_track2_screen_0583_stdout.txt,1.0840350461006165e+02,MEASURED_FROM_CODE
step83b_track2_screen_0457,track2,timeout,133,133,133,4.1811136112958422e+01,9.9570763995073079e+00,,,,,,,,outputs\exports\step83b_track2_screen_0457_stdout.txt,1.2031317925453186e+02,MEASURED_FROM_CODE
step83b_track2_screen_0003,track2,timeout,152,152,152,4.2344450020361528e+01,8.1559102599798923e+00,,,,,,,,outputs\exports\step83b_track2_screen_0003_stdout.txt,1.2035075211524963e+02,MEASURED_FROM_CODE
step83b_track2_screen_0805,track2,timeout,133,133,133,4.9678680776963880e+01,8.9388332815955156e+00,,,,,,,,outputs\exports\step83b_track2_screen_0805_stdout.txt,1.2030317234992981e+02,MEASURED_FROM_CODE
step83b_track2_screen_0763,track2,timeout,133,133,133,4.8900327622616125e+01,8.5830023424043507e+00,,,,,,,,outputs\exports\step83b_track2_screen_0763_stdout.txt,1.2031317234039307e+02,MEASURED_FROM_CODE
step83b_track2_screen_0427,track2,timeout,133,133,133,5.0534413004283103e+01,1.0771364641258264e+01,,,,,,,,outputs\exports\step83b_track2_screen_0427_stdout.txt,1.2029463839530945e+02,MEASURED_FROM_CODE
