rank,feature_count,feature_names,distinct_signatures,remaining_collisions,collision_reduction
1,2,x2_s2+x2_t2,56,0,12
2,3,same_A_atom+x2_s2+x2_t2,56,0,12
3,3,same_B_atom+x2_s2+x2_t2,56,0,12
4,3,same_r+x2_s2+x2_t2,56,0,12
5,3,same_s+x2_s2+x2_t2,56,0,12
6,3,same_t+x2_s2+x2_t2,56,0,12
7,3,same_u+x2_s2+x2_t2,56,0,12
8,3,x1_equals_x2+x2_s2+x2_t2,56,0,12
9,3,x1_live+x2_s2+x2_t2,56,0,12
10,3,x1_r1+x2_s2+x2_t2,56,0,12
11,3,x1_s1+x2_s2+x2_t2,56,0,12
12,3,x1_t1+x2_s2+x2_t2,56,0,12
13,3,x1_u1+x2_s2+x2_t2,56,0,12
14,3,x2_live+x2_s2+x2_t2,56,0,12
15,3,x2_r2+x2_s2+x2_t2,56,0,12
16,3,x2_s2+x2_t2+x2_u2,56,0,12
17,1,x2_s2,52,4,8
18,1,x2_t2,52,4,8
19,2,same_A_atom+x2_s2,52,4,8
20,2,same_A_atom+x2_t2,52,4,8
21,2,same_B_atom+x2_s2,52,4,8
22,2,same_B_atom+x2_t2,52,4,8
23,2,same_r+x2_s2,52,4,8
24,2,same_r+x2_t2,52,4,8
25,2,same_s+x2_s2,52,4,8
26,2,same_s+x2_t2,52,4,8
27,2,same_t+x2_s2,52,4,8
28,2,same_t+x2_t2,52,4,8
29,2,same_u+x2_s2,52,4,8
30,2,same_u+x2_t2,52,4,8
31,2,x1_equals_x2+x2_s2,52,4,8
32,2,x1_equals_x2+x2_t2,52,4,8
33,2,x1_live+x2_s2,52,4,8
34,2,x1_live+x2_t2,52,4,8
35,2,x1_r1+x2_s2,52,4,8
36,2,x1_r1+x2_t2,52,4,8
37,2,x1_s1+x2_s2,52,4,8
38,2,x1_s1+x2_t2,52,4,8
39,2,x1_t1+x2_s2,52,4,8
40,2,x1_t1+x2_t2,52,4,8
41,2,x1_u1+x2_s2,52,4,8
42,2,x1_u1+x2_t2,52,4,8
43,2,x2_live+x2_s2,52,4,8
44,2,x2_live+x2_t2,52,4,8
45,2,x2_r2+x2_s2,52,4,8
46,2,x2_r2+x2_t2,52,4,8
47,2,x2_s2+x2_u2,52,4,8
48,2,x2_t2+x2_u2,52,4,8
49,3,same_A_atom+same_B_atom+x2_s2,52,4,8
50,3,same_A_atom+same_B_atom+x2_t2,52,4,8
