rank,packet_file,delta_leak_basis,rank_H_basis,rank_N_basis,row_rank_N,n_hits,n_neutral,n_leaking,neutral_fraction,resid_min,resid_p10,resid_median,resid_p90,resid_max
19,basis_0000_26b9cf35768d.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.330349267783305,3.395502693678268,7.575016473521706
19,basis_0000_54e6e0dd0080.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513187,3.3969291795601952,5.354118987657519,9.786016805334574
19,basis_0001_104cafcb3d39.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513182,3.396929179560195,5.354118987657519,9.786016805334574
19,basis_0001_b94755782fec.npz,0,10,10,10,151805,39405,112400,0.2595764302888574,0.0,0.0,2.327835010552487,3.391849762783899,7.61147057384839
19,basis_0002_1ba807b6f886.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513187,3.3969291795601944,5.354118987657519,9.786016805334574
19,basis_0002_505eddb006f2.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.3297272836044316,3.3969605365688555,8.189873592276973
19,basis_0003_1775d7882cf4.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513182,3.3969291795601952,5.354118987657518,9.786016805334574
19,basis_0003_3fccd584e10b.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.3294878947698816,3.393930940903805,7.30284095627026
19,basis_0004_b652aa826134.npz,0,10,10,10,151757,39405,112352,0.25965853304954634,0.0,0.0,2.3270944973597247,3.3892487827169315,7.899456403785427
19,basis_0004_b680e3770071.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513182,3.3969291795601952,5.354118987657518,9.786016805334574
19,basis_0005_92268cb63583.npz,0,10,10,10,1679049,39669,1639380,0.023625873932208052,0.0,2.0429314444513182,3.3969291795601952,5.354118987657518,9.786016805334574
19,basis_0005_e475ecf211be.npz,0,10,10,10,151773,39405,112368,0.2596311596924354,0.0,0.0,2.3305227849453964,3.3956898845258063,7.6497558301998625
19,basis_0006_50ef79ede23b.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.331613579476706,3.399082000064846,7.233319601616776
19,basis_0006_c66dcbc7b9af.npz,0,10,10,10,1679049,39633,1639416,0.023604433223807047,0.0,2.084475196897076,3.402093206111566,5.362674630845782,9.783500897076935
19,basis_0007_6d2481ac34d4.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.3325362504217693,3.397095115974511,7.451784840923262
19,basis_0007_769e76caecdf.npz,0,10,10,10,1679049,39633,1639416,0.023604433223807047,0.0,2.0844751968970763,3.402093206111566,5.362674630845782,9.783500897076935
19,basis_0008_5c491f5b11b1.npz,0,10,10,10,151741,39405,112336,0.25968591217930553,0.0,0.0,2.33200116559633,3.3983418940096666,7.484282824540252
19,basis_0008_914e67235e8a.npz,0,10,10,10,1679049,39633,1639416,0.023604433223807047,0.0,2.0844751968970763,3.402093206111566,5.362674630845781,9.783500897076935
19,basis_0009_3b71c704f7c3.npz,0,10,10,10,152213,39405,112808,0.2588806475136815,0.0,0.0,2.3442539383346657,3.4104465025460953,8.133141209444071
19,basis_0009_cdd765058b39.npz,0,10,10,10,1679049,39621,1639428,0.023597286321006713,0.0,2.0657305723551334,3.399726341967049,5.359184066139827,9.783480079954172
