,rank_H,delta_leak,rank_sigma,rank_SN,augmented_gap,sigma_innovation,delta_residual_frobenius,gamma_lstsq_residual,tensor_reconstruction_error,H_spectral_gap,alpha_density,beta_density
rank_H,,,,,,,,,,,,
delta_leak,,1.0000,0.1273,1.0000,-1.0000,,0.6192,-0.3191,-0.1881,0.2663,0.1250,0.1842
rank_sigma,,0.1273,1.0000,0.1273,-0.1273,,0.2086,-0.6431,-0.1329,0.1378,0.1454,0.1402
rank_SN,,1.0000,0.1273,1.0000,-1.0000,,0.6192,-0.3191,-0.1881,0.2663,0.1250,0.1842
augmented_gap,,-1.0000,-0.1273,-1.0000,1.0000,,-0.6192,0.3191,0.1881,-0.2663,-0.1250,-0.1842
sigma_innovation,,,,,,,,,,,,
delta_residual_frobenius,,0.6192,0.2086,0.6192,-0.6192,,1.0000,-0.5312,-0.4893,0.2096,0.3783,0.3864
gamma_lstsq_residual,,-0.3191,-0.6431,-0.3191,0.3191,,-0.5312,1.0000,0.6432,-0.3135,-0.3162,-0.3346
tensor_reconstruction_error,,-0.1881,-0.1329,-0.1881,0.1881,,-0.4893,0.6432,1.0000,-0.1257,-0.2927,-0.2452
H_spectral_gap,,0.2663,0.1378,0.2663,-0.2663,,0.2096,-0.3135,-0.1257,1.0000,0.2519,0.2377
alpha_density,,0.1250,0.1454,0.1250,-0.1250,,0.3783,-0.3162,-0.2927,0.2519,1.0000,-0.4531
beta_density,,0.1842,0.1402,0.1842,-0.1842,,0.3864,-0.3346,-0.2452,0.2377,-0.4531,1.0000
