search_id,rank,strategy,init_detail,seed,final_loss,final_max_abs,exact_hit,rank_H_numeric,rank_Delta_numeric,rank_Nuisance_numeric,quotient_gain_numeric,delta_in_eta_numeric,projection_max_residual_numeric,border_tail_norm
wing19_border_0017,19,border23_to_19,border_tail_t19_t12_t11_t04,930017,1.1380489673898316e-05,0.0005268423997085019,False,18,19,19,0,False,8.966150773911442e-05,0.2840754657392633
wing19_border_0007,19,border23_to_19,border_tail_t03_t16_t19_t04,930007,7.025077030144459e-06,0.0006396431303633458,False,18,19,19,0,False,0.0001140341267923204,0.30017338210192507
wing19_border_0015,19,border23_to_19,border_tail_t13_t16_t23_t09,930015,9.746462163849045e-06,0.0007708517271996579,False,18,19,19,0,False,8.661004152227259e-05,0.3145497812858374
wing19_border_0023,19,border23_to_19,border_tail_t14_t07_t21_t03,930023,1.3689154258505182e-05,0.0008211736504271738,False,18,19,19,0,False,0.0001759547612443903,0.39485802270793857
wing19_border_0031,19,border23_to_19,border_tail_t04_t16_t06_t10,930031,5.379388977528105e-06,0.0008605134573378488,False,18,19,19,0,False,0.00010117450649047271,0.30593549189157465
wing19_border_0018,19,border23_to_19,border_tail_t13_t07_t22_t06,930018,1.9925718981080472e-05,0.0008736993676372384,False,18,19,19,0,False,0.00023235391792608695,0.3596899383925058
wing19_border_0011,19,border23_to_19,border_tail_t02_t09_t07_t17,930011,1.3055026994884865e-05,0.0009315105149007548,False,18,19,19,0,False,0.00015168675730821424,0.3874751603988038
wing19_border_0006,19,border23_to_19,border_tail_t15_t04_t07_t14,930006,2.0582859874327368e-05,0.0009386324330533303,False,18,19,19,0,False,0.00017234485136831878,0.4180077246105071
wing19_border_0030,19,border23_to_19,border_tail_t18_t20_t07_t15,930030,2.66699986827812e-05,0.0009590702400332326,False,18,19,19,0,False,0.00020197963021967302,0.3538866627925478
wing19_border_0012,19,border23_to_19,border_tail_t03_t12_t02_t13,930012,1.697252631201139e-05,0.000988508465899322,False,18,19,19,0,False,0.0001475469683899092,0.36350237947762365
wing19_border_0004,19,border23_to_19,border_tail_t15_t03_t07_t21,930004,1.783520359270579e-05,0.0009989482825757047,False,18,19,19,0,False,0.000291926625646477,0.34229067081286857
wing19_border_0025,19,border23_to_19,border_tail_t13_t04_t21_t03,930025,1.6336780893294703e-05,0.0010029617650062056,False,18,19,19,0,False,0.00015139295726524524,0.3105694753098255
wing19_border_0029,19,border23_to_19,border_tail_t19_t16_t01_t09,930029,1.783538013282869e-05,0.0010497080710441286,False,18,19,19,0,False,7.134945923525753e-05,0.2864920478123451
wing19_border_0000,19,border23_to_19,border_tail_t19_t09_t22_t04,930000,9.16152834283867e-06,0.0010604482126829959,False,18,19,19,0,False,7.185650522070763e-05,0.279533052871069
wing19_border_0028,19,border23_to_19,border_tail_t20_t06_t05_t10,930028,1.6885637668872338e-05,0.0010619990669090307,False,18,19,19,0,False,0.00017236663622848198,0.3809282153125189
wing19_border_0010,19,border23_to_19,border_tail_t07_t01_t17_t21,930010,2.8740032774958528e-05,0.0010711023697664783,False,18,19,19,0,False,0.0001851529691601336,0.3725622789432193
wing19_border_0014,19,border23_to_19,border_tail_t01_t02_t03_t23,930014,1.3776912179593485e-05,0.001104538362288444,False,18,19,19,0,False,0.00015912659381460423,0.35163073727852906
wing19_border_0002,19,border23_to_19,border_tail_t01_t04_t06_t22,930002,1.7140063439432332e-05,0.0011090777903770947,False,18,19,19,0,False,7.935914946308298e-05,0.24640427032457707
wing19_border_0021,19,border23_to_19,border_tail_t14_t03_t18_t17,930021,2.119008344092102e-05,0.0011245523601914537,False,18,19,19,0,False,0.00019505934639237293,0.32471063952779794
wing19_border_0005,19,border23_to_19,border_tail_t20_t14_t21_t09,930005,3.0836087010918016e-05,0.0011423879348296674,False,18,19,19,0,False,0.0001525114119080538,0.4239445647223479
wing19_border_0019,19,border23_to_19,border_tail_t05_t12_t01_t19,930019,2.6351420457177917e-05,0.0012207323076385234,False,18,19,19,0,False,0.00026242666147950275,0.40350954969256875
wing19_border_0020,19,border23_to_19,border_tail_t11_t07_t04_t21,930020,3.0471921280202286e-05,0.0013105220274299274,False,18,19,19,0,False,0.00021671285927151484,0.37109409540641375
wing19_border_0008,19,border23_to_19,border_tail_t21_t10_t16_t15,930008,3.369234201049766e-05,0.001525261247054305,False,18,19,19,0,False,0.00048618704734250395,0.3648376320199265
wing19_border_0022,19,border23_to_19,border_tail_t06_t13_t03_t01,930022,1.8055453841683014e-05,0.0018315881597121243,False,18,19,19,0,False,0.0003362120640158862,0.3250988588960555
wing19_border_0013,19,border23_to_19,border_tail_t09_t21_t15_t19,930013,1.4395001734795713e-05,0.001942855289942794,False,18,19,19,0,False,0.00018682028804532926,0.3053060661647939
wing19_border_0016,19,border23_to_19,border_tail_t06_t13_t21_t17,930016,2.0395526524057817e-05,0.002105745321665285,False,18,19,19,0,False,8.113075797539585e-05,0.31011538521018417
